"simulate_model","fit_model","iteration","ACC","LogL","LogPr","LogPo","AIC","BIC","input_param_1","input_param_2","output_param_1","output_param_2","output_param_3","input_param_3"
"TD","TD",1,100,-98.88,NA,NA,201.76,209.53,0.643091264180839,1.83357874206723,0.781260266837863,1.0000020282666,NA,NA
"TD","TD",2,100,-90.84,NA,NA,185.68,193.45,0.724670132622123,2.43561604238095,0.867035398413922,4.63987561272688,NA,NA
"TD","TD",3,100,-104.73,NA,NA,213.46,221.23,0.950232450617477,3.03779015681686,0.884256711664279,3.93550826681012,NA,NA
"TD","TD",4,100,-106.01,NA,NA,216.02,223.79,0.682289758697152,1.07202245481312,0.77973952819711,1.00000347292146,NA,NA
"TD","TD",5,100,-111.26,NA,NA,226.52,234.29,0.200363578274846,2.00568439900399,0.149589925395916,1.07757785153783,NA,NA
"TD","TD",6,100,-123.78,NA,NA,251.56,259.33,0.321220333920792,1.29866566415876,0.149672434684346,1.0000003537472,NA,NA
"TD","TD",7,100,-121.76,NA,NA,247.52,255.29,0.571441247593611,1.05021329503506,0.617733341254246,1.00000059707193,NA,NA
"TD","TD",8,100,-109.76,NA,NA,223.52,231.29,0.973066303646192,1.39299949863926,0.870681746966672,1.12102479547347,NA,NA
"TD","TD",9,100,-124.48,NA,NA,252.96,260.73,0.895209939451888,1.00547373959183,0.856086517076867,1.00000007896643,NA,NA
"TD","TD",10,100,-132.95,NA,NA,269.9,277.67,0.0494146177079529,1.5078624105081,0.0435121820332978,1.72776607453652,NA,NA
"TD","TD",11,100,-125.75,NA,NA,255.5,263.27,0.197620301274583,1.18983699940145,0.136532596176612,1.00000109406806,NA,NA
"TD","TD",12,100,-120.55,NA,NA,245.1,252.87,0.0560640415642411,1.56602673046291,0.0527578462498551,2.12829438381539,NA,NA
"TD","TD",13,100,-121.15,NA,NA,246.3,254.07,0.051307131536305,2.23247370731968,0.0520703365037659,2.28384166247747,NA,NA
"TD","TD",14,100,-113.5,NA,NA,231,238.77,0.989872474921867,1.20800043705019,0.869192602536192,1.03282081851801,NA,NA
"TD","TD",15,100,-90.84,NA,NA,185.68,193.45,0.711294803768396,1.57632797351107,0.867035398413922,4.63987561272688,NA,NA
"TD","TD",16,100,-135.6,NA,NA,275.2,282.97,0.0768930825870484,1.0096698673442,0.0730066601337257,1.07198325367925,NA,NA
"TD","TD",17,100,-90.84,NA,NA,185.68,193.45,0.797194604296237,3.5054881726885,0.867035398413922,4.63987561272688,NA,NA
"TD","TD",18,100,-90.84,NA,NA,185.68,193.45,0.731893435353413,2.27495420533688,0.867035398413922,4.63987561272688,NA,NA
"TD","TD",19,100,-93.16,NA,NA,190.32,198.09,0.809085062006488,1.79705669912965,0.867106415976048,3.69820350603598,NA,NA
"TD","TD",20,100,-110.54,NA,NA,225.08,232.85,0.511981163173914,3.39124982816227,0.285661180603232,1.0392420657714,NA,NA
"TD","TD",21,100,-112.85,NA,NA,229.7,237.47,0.226354157319292,2.66897989056053,0.173653067969284,1.14056450108861,NA,NA
"TD","TD",22,100,-115.53,NA,NA,235.06,242.83,0.300222688354552,1.95544207743825,0.175813155274982,1.06636740445359,NA,NA
"TD","TD",23,100,-104.73,NA,NA,213.46,221.23,0.984172471100464,2.69604673600736,0.884256711664279,3.93550826681012,NA,NA
"TD","TD",24,100,-118.17,NA,NA,240.34,248.11,0.540354023920372,1.23410649768987,0.450430921133897,1.0000003304198,NA,NA
"TD","TD",25,100,-110.17,NA,NA,224.34,232.11,0.870058757020161,1.32718323590234,0.836500491196714,1.00000000019494,NA,NA
"TD","TD",26,100,-116.58,NA,NA,237.16,244.93,0.0660558908712119,2.97567781611326,0.0764672816786674,1.52895284774592,NA,NA
"TD","TD",27,100,-112.8,NA,NA,229.6,237.37,0.973287776112556,1.26051322789863,0.862823920268488,1.03437951403913,NA,NA
