"fit_model","Subject","ACC","LogL","LogPr","LogPo","AIC","BIC","param_1","param_2","param_3"
"TD","1",100,243.4,NA,NA,490.8,498.57,2.72598071467191e-08,0.181477345928669,NA
"TD","2",100,205.16,NA,NA,414.32,422.09,0.974355296946655,0.302405926217858,NA
"TD","3",100,142.15,NA,NA,288.3,296.07,2.50346036678146e-09,8.41388351269809,NA
"TD","4",100,62.48,NA,NA,128.96,136.73,0.013686569860168,4.11259275095178,NA
"TD","5",100,147.43,NA,NA,298.86,306.63,1.90019079687483e-08,8.81813436338749,NA
"TD","6",100,151.23,NA,NA,306.46,314.23,0.0065451339935963,2.25707987441889,NA
"TD","7",100,143.91,NA,NA,291.82,299.59,0.999999930914571,0.681389801631099,NA
"TD","8",100,82.86,NA,NA,169.72,177.49,0.0133478303851007,1.21215049471262,NA
"TD","9",100,152.36,NA,NA,308.72,316.49,3.12560830683227e-09,0.414442140924745,NA
"TD","10",100,51.62,NA,NA,107.24,115.01,0.00344231297630155,8.95210036357486,NA
"TD","11",100,133.65,NA,NA,271.3,279.07,6.35506341947429e-09,8.30580464140367,NA
"TD","12",100,213.73,NA,NA,431.46,439.23,1.46479149387658e-09,0.123303622054289,NA
"TD","13",100,73.91,NA,NA,151.82,159.59,0.0034316455926013,7.21467293485125,NA
"TD","14",100,96.89,NA,NA,197.78,205.55,0.00341919307365355,8.51875949881996,NA
"TD","15",100,166.5,NA,NA,337,344.77,0.00292833428124445,6.82123848844851,NA
"TD","16",100,125.88,NA,NA,255.76,263.53,0.900831220633201,9.99999776840024,NA
"TD","17",100,198.46,NA,NA,400.92,408.69,0.0398298778264124,0.364260788107096,NA
"TD","18",100,208.26,NA,NA,420.52,428.29,2.97409546282458e-08,0.300991586793227,NA
"TD","19",100,192.77,NA,NA,389.54,397.31,3.14038384531796e-09,0.382627639933017,NA
"TD","20",100,37.15,NA,NA,78.3,86.07,0.00107790192778091,9.87489900181069,NA
"TD","21",100,41.06,NA,NA,86.12,93.89,4.14294337674938e-09,8.91634023742987,NA
"TD","22",100,41.05,NA,NA,86.1,93.87,0.00571635853364618,5.36015313237195,NA
"TD","23",100,46.34,NA,NA,96.68,104.45,0.00101740758703386,9.92319529985805,NA
"TD","24",100,106.08,NA,NA,216.16,223.93,0.00242171278439103,9.28291948984238,NA
"TD","25",100,109.99,NA,NA,223.98,231.75,0.00124472585571691,9.35363544653545,NA
"TD","26",100,232.19,NA,NA,468.38,476.15,0.991930975408499,0.512640773282732,NA
"TD","27",100,135.26,NA,NA,274.52,282.29,0.96851750121204,0.879202908753549,NA
"TD","28",100,180.72,NA,NA,365.44,373.21,0.968975145927397,0.49454771234563,NA
"TD","29",100,130.89,NA,NA,265.78,273.55,0.0107328779420685,2.93093535423267,NA
"TD","31",100,57.84,NA,NA,119.68,127.45,1.381033061617e-08,0.880873877121961,NA
"TD","32",100,161.22,NA,NA,326.44,334.21,0.000450323836166725,8.57419545466212,NA
"TD","34",100,28.64,NA,NA,61.28,69.05,0.00148572190052706,9.72073571530098,NA
"TD","35",100,129.04,NA,NA,262.08,269.85,0.00514110272828737,5.25076460712731,NA
"TD","36",100,223.29,NA,NA,450.58,458.35,0.912361592439142,0.864873144923594,NA
"TD","37",100,99.37,NA,NA,202.74,210.51,0.0119647002240141,4.04154027757177,NA
"TD","38",100,249.54,NA,NA,503.08,510.85,0.583118212559116,1.12244226998123e-08,NA
"TD","39",100,249.53,NA,NA,503.06,510.83,0.874719442806529,5.2495980364306e-09,NA
"TD","40",100,179.21,NA,NA,362.42,370.19,0.961521960615367,0.43809440109492,NA
"TD","41",100,106.08,NA,NA,216.16,223.93,0.00206824107740642,7.8396572818416,NA
"TD","42",100,34.3,NA,NA,72.6,80.37,1.50082389853299e-09,1.06523482293272,NA
