"simulate_model","fit_model","iteration","ACC","LogL","LogPr","LogPo","AIC","BIC","input_param_1","input_param_2","output_param_1","output_param_2","output_param_3","input_param_3"
"TD","TD",1,100,-98.78,NA,NA,201.56,209.33,0.643091264180839,1.83357874206723,0.789129975980081,1.06996461406035,NA,NA
"TD","TD",2,100,-90.76,NA,NA,185.52,193.29,0.724670132622123,2.43561604238095,0.878091714095037,9.93892371048648,NA,NA
"TD","TD",3,100,-103.58,NA,NA,211.16,218.93,0.950232450617477,3.03779015681686,0.887901140652981,9.96470820569235,NA,NA
"TD","TD",4,100,-106.01,NA,NA,216.02,223.79,0.682289758697152,1.07202245481312,0.780324686080404,1.00050496022066,NA,NA
"TD","TD",5,100,-111.26,NA,NA,226.52,234.29,0.200363578274846,2.00568439900399,0.150767564892789,1.07317478726823,NA,NA
"TD","TD",6,100,-123.78,NA,NA,251.56,259.33,0.321220333920792,1.29866566415876,0.150095726011567,1.00006151615418,NA,NA
"TD","TD",7,100,-121.76,NA,NA,247.52,255.29,0.571441247593611,1.05021329503506,0.624574620060065,1.00007496948738,NA,NA
"TD","TD",8,100,-108.18,NA,NA,220.36,228.13,0.973066303646192,1.39299949863926,0.888014337590822,9.91300999327505,NA,NA
"TD","TD",9,100,-124.48,NA,NA,252.96,260.73,0.895209939451888,1.00547373959183,0.856529656060229,1.00016082071249,NA,NA
"TD","TD",10,100,-132.95,NA,NA,269.9,277.67,0.0494146177079529,1.5078624105081,0.043716840092827,1.75604825556066,NA,NA
"TD","TD",11,100,-125.75,NA,NA,255.5,263.27,0.197620301274583,1.18983699940145,0.135102618819699,1.0039429826061,NA,NA
"TD","TD",12,100,-120.55,NA,NA,245.1,252.87,0.0560640415642411,1.56602673046291,0.0531635180070226,2.1105511387618,NA,NA
"TD","TD",13,100,-121.15,NA,NA,246.3,254.07,0.051307131536305,2.23247370731968,0.0520195142385117,2.23950770247714,NA,NA
"TD","TD",14,100,-112.77,NA,NA,229.54,237.31,0.989872474921867,1.20800043705019,0.887927511232067,9.96843199383608,NA,NA
"TD","TD",15,100,-90.76,NA,NA,185.52,193.29,0.711294803768396,1.57632797351107,0.878091714095037,9.93892371048648,NA,NA
"TD","TD",16,100,-135.6,NA,NA,275.2,282.97,0.0768930825870484,1.0096698673442,0.0730440732917923,1.07461619191441,NA,NA
"TD","TD",17,100,-90.76,NA,NA,185.52,193.29,0.797194604296237,3.5054881726885,0.878091714095037,9.93892371048648,NA,NA
"TD","TD",18,100,-90.76,NA,NA,185.52,193.29,0.731893435353413,2.27495420533688,0.878091714095037,9.93892371048648,NA,NA
"TD","TD",19,100,-93.01,NA,NA,190.02,197.79,0.809085062006488,1.79705669912965,0.880049541944484,9.93298114046809,NA,NA
"TD","TD",20,100,-110.54,NA,NA,225.08,232.85,0.511981163173914,3.39124982816227,0.286851717350659,1.03800158849636,NA,NA
"TD","TD",21,100,-112.85,NA,NA,229.7,237.47,0.226354157319292,2.66897989056053,0.171582148300011,1.15457802062812,NA,NA
"TD","TD",22,100,-115.53,NA,NA,235.06,242.83,0.300222688354552,1.95544207743825,0.177358381874542,1.05189135767749,NA,NA
"TD","TD",23,100,-103.58,NA,NA,211.16,218.93,0.984172471100464,2.69604673600736,0.887901140652981,9.96470820569235,NA,NA
"TD","TD",24,100,-118.17,NA,NA,240.34,248.11,0.540354023920372,1.23410649768987,0.455049164873772,1.0004995134676,NA,NA
"TD","TD",25,100,-110.17,NA,NA,224.34,232.11,0.870058757020161,1.32718323590234,0.836940904540999,1.00120873391979,NA,NA
"TD","TD",26,100,-116.58,NA,NA,237.16,244.93,0.0660558908712119,2.97567781611326,0.0763432593604949,1.53594034497753,NA,NA
"TD","TD",27,100,-112.55,NA,NA,229.1,236.87,0.973287776112556,1.26051322789863,0.886988948214004,9.98115378950897,NA,NA
"TD","TD",28,100,-112.86,NA,NA,229.72,237.49,0.290595552418381,2.05573849655212,0.181306210103407,1.11285299434314,NA,NA
"TD","TD",29,100,-112.77,NA,NA,229.54,237.31,0.988910319516435,1.21139730885625,0.887927511232067,9.96843199383608,NA,NA
"TD","TD",30,100,-112.86,NA,NA,229.72,237.49,0.329378831898794,3.0851063261411,0.181306210103407,1.11285299434314,NA,NA
"TD","TD",31,100,-126.37,NA,NA,256.74,264.51,0.11878991080448,1.83541438817502,0.104441552532025,1.20742883515967,NA,NA
"TD","TD",32,100,-132.95,NA,NA,269.9,277.67,0.0508385861758143,1.41009616898373,0.043716840092827,1.75604825556066,NA,NA
"TD","TD",33,100,-90.76,NA,NA,185.52,193.29,0.684979062527418,1.75662852577144,0.878091714095037,9.93892371048648,NA,NA
"TD","TD",34,100,-111.36,NA,NA,226.72,234.49,0.842564480379224,1.05992496339604,0.833223649309179,1.00047290631011,NA,NA
"TD","TD",35,100,-114.31,NA,NA,232.62,240.39,0.27115519088693,3.69503675574873,0.183579337388828,1.08723242546783,NA,NA
"TD","TD",36,100,-97.31,NA,NA,198.62,206.39,0.779200294986367,1.45758824376389,0.817758580411539,1.18762250486781,NA,NA
"TD","TD",37,100,-103.58,NA,NA,211.16,218.93,0.982565350597724,4.92570209977795,0.887901140652981,9.96470820569235,NA,NA
"TD","TD",38,100,-118.17,NA,NA,240.34,248.11,0.533772448310629,1.2251683762297,0.455049164873772,1.0004995134676,NA,NA
"TD","TD",39,100,-126.04,NA,NA,256.08,263.85,0.128862570039928,2.75030500992181,0.10662820269459,1.1975199237826,NA,NA
"TD","TD",40,100,-123.85,NA,NA,251.7,259.47,0.420502026332542,1.08286330314484,0.148248866801953,1.00013712448692,NA,NA
"TD","TD",41,100,-92.9,NA,NA,189.8,197.57,0.860091791022569,2.2001721150753,0.880216971678146,9.79416789803402,NA,NA
"TD","TD",42,100,-108.31,NA,NA,220.62,228.39,0.633000507717952,1.31639195521562,0.765017874206215,1.00017487957338,NA,NA
"TD","TD",43,100,-110.54,NA,NA,225.08,232.85,0.512010124279186,3.01376353887389,0.286851717350659,1.03800158849636,NA,NA
"TD","TD",44,100,-112.52,NA,NA,229.04,236.81,0.4054856733419,4.89528230370438,0.277312325674743,1.01341350523182,NA,NA
"TD","TD",45,100,-123.78,NA,NA,251.56,259.33,0.319981756620109,1.26415652967989,0.150095726011567,1.00006151615418,NA,NA
"TD","TD",46,100,-103.58,NA,NA,211.16,218.93,0.947748523205519,2.36391219958187,0.887901140652981,9.96470820569235,NA,NA
"TD","TD",47,100,-113.13,NA,NA,230.26,238.03,0.885661983396858,2.4762263855988,0.849461522560331,1.014177081487,NA,NA
"TD","TD",48,100,-133.92,NA,NA,271.84,279.61,0.119032545015216,1.2109820744954,0.114239645146487,1.00002301209949,NA,NA
"TD","TD",49,100,-103.36,NA,NA,210.72,218.49,0.931592519162223,1.64870583964512,0.887010668510088,9.95300994000035,NA,NA
"TD","TD",50,100,-90.76,NA,NA,185.52,193.29,0.753800751408562,3.89878896835935,0.878091714095037,9.93892371048648,NA,NA
"TD","TD",51,100,-125.89,NA,NA,255.78,263.55,0.080542077543214,1.38312963815406,0.0762710797964296,1.31479909009296,NA,NA
"TD","TD",52,100,-133.76,NA,NA,271.52,279.29,0.0462017410900444,1.57751976652071,0.0431559363651189,1.70188472286248,NA,NA
"TD","TD",53,100,-114.46,NA,NA,232.92,240.69,0.407168375095353,1.8810732345608,0.175151969132475,1.00040883154129,NA,NA
"TD","TD",54,100,-103.58,NA,NA,211.16,218.93,0.960197768406942,1.62981824576855,0.887901140652981,9.96470820569235,NA,NA
"TD","TD",55,100,-104.83,NA,NA,213.66,221.43,0.745619997614995,1.08382892229572,0.803020758942863,1.01139542585745,NA,NA
"TD","TD",56,100,-123.38,NA,NA,250.76,258.53,0.387793875532225,1.18421270139515,0.146847570746466,1.00127370206201,NA,NA
"TD","TD",57,100,-108.31,NA,NA,220.62,228.39,0.640330957481638,1.32346468325704,0.765017874206215,1.00017487957338,NA,NA
"TD","TD",58,100,-116.43,NA,NA,236.86,244.63,0.46626549679786,1.18377712974325,0.323555719707951,1.00070285124317,NA,NA
"TD","TD",59,100,-90.76,NA,NA,185.52,193.29,0.781977394130081,2.17335850927503,0.878091714095037,9.93892371048648,NA,NA
"TD","TD",60,100,-128.64,NA,NA,261.28,269.05,0.185236022341996,1.16209726792475,0.130746651401516,1.00086681774383,NA,NA
"TD","TD",61,100,-98.79,NA,NA,201.58,209.35,0.703108243644238,1.190494351089,0.791026561785162,1.0834882933059,NA,NA
"TD","TD",62,100,-105.31,NA,NA,214.62,222.39,0.540940156206489,2.71158919288757,0.329822398489722,1.0373812842437,NA,NA
"TD","TD",63,100,-114.31,NA,NA,232.62,240.39,0.265401779906824,2.94766673623564,0.183579337388828,1.08723242546783,NA,NA
"TD","TD",64,100,-120.63,NA,NA,245.26,253.03,0.897607917198911,1.20987035287544,0.858731586266596,1.00007896733655,NA,NA
"TD","TD",65,100,-123.85,NA,NA,251.7,259.47,0.398145136190578,1.04858012497425,0.148248866801953,1.00013712448692,NA,NA
"TD","TD",66,100,-122.7,NA,NA,249.4,257.17,0.470244030002505,1.37089849868789,0.154439806445223,1.00036515575014,NA,NA
"TD","TD",67,100,-93.01,NA,NA,190.02,197.79,0.824348853668198,2.18002879429133,0.880049541944484,9.93298114046809,NA,NA
"TD","TD",68,100,-108.9,NA,NA,221.8,229.57,0.503097830805928,1.32283924566582,0.32384616709113,1.00485954783243,NA,NA
"TD","TD",69,100,-115.18,NA,NA,234.36,242.13,0.361050225095823,2.17336245528878,0.193549610914842,1.04522084322726,NA,NA
"TD","TD",70,100,-112.55,NA,NA,229.1,236.87,0.964988884748891,1.18922751862556,0.886988948214004,9.98115378950897,NA,NA
"TD","TD",71,100,-90.76,NA,NA,185.52,193.29,0.789667062694207,3.04544003671947,0.878091714095037,9.93892371048648,NA,NA
"TD","TD",72,100,-94.92,NA,NA,193.84,201.61,0.628910263301805,3.95466302318459,0.800489684009133,1.20005778140036,NA,NA
"TD","TD",73,100,-115.38,NA,NA,234.76,242.53,0.415234696352854,1.7106761354533,0.182797121572161,1.00035983758893,NA,NA
"TD","TD",74,100,-92.9,NA,NA,189.8,197.57,0.857857148861513,1.936107955831,0.880216971678146,9.79416789803402,NA,NA
"TD","TD",75,100,-108.31,NA,NA,220.62,228.39,0.629901704145595,1.19926888635382,0.765017874206215,1.00017487957338,NA,NA
"TD","TD",76,100,-121.24,NA,NA,246.48,254.25,0.359289909945801,1.36449700228535,0.162040345489226,1.00870290517596,NA,NA
