"fit_model","Subject","ACC","LogL","LogPr","LogPo","AIC","BIC","param_1","param_2","param_3"
"TD","1",100,241.32,NA,NA,486.64,494.41,8.64836552786825e-06,0.030030363459253,NA
"TD","2",100,162.48,NA,NA,328.96,336.73,6.0241956856364e-07,0.315804821212871,NA
"TD","3",100,120.54,NA,NA,245.08,252.85,3.55823820490293e-05,0.600176420965148,NA
"TD","4",100,113.91,NA,NA,231.82,239.59,0.981091800932857,0.93028887653012,NA
"TD","5",100,247.07,NA,NA,498.14,505.91,0.905868872592677,9.79287029571701,NA
"TD","6",100,251.93,NA,NA,507.86,515.63,0.349219159708922,7.72442749678651e-05,NA
"TD","7",100,86.3,NA,NA,176.6,184.37,0.000398390244435307,0.803951210673319,NA
"TD","8",100,152.48,NA,NA,308.96,316.73,0.999989999589562,0.494102795474634,NA
"TD","9",100,149.95,NA,NA,303.9,311.67,7.46784588312036e-07,0.427691893652964,NA
"TD","10",100,111.35,NA,NA,226.7,234.47,0.994704846061368,3.48454675225919,NA
"TD","11",100,102.53,NA,NA,209.06,216.83,8.83125005499271e-05,0.648524549827206,NA
"TD","12",100,227.49,NA,NA,458.98,466.75,0.199944732741146,0.0381334484894154,NA
"TD","13",100,65.89,NA,NA,135.78,143.55,0.00100815686259459,0.989174235094326,NA
"TD","14",100,87.22,NA,NA,178.44,186.21,0.0012907019182142,0.58915642024383,NA
"TD","15",100,124.88,NA,NA,253.76,261.53,0.00010287133282922,0.526751591721087,NA
"TD","16",100,87.7,NA,NA,179.4,187.17,0.00248264471921822,8.42635532560195,NA
"TD","17",100,204.84,NA,NA,413.68,421.45,0.0392914622382198,0.376042202396563,NA
"TD","18",100,220.32,NA,NA,444.64,452.41,0.129509417856042,0.0410950921607709,NA
"TD","19",100,195.49,NA,NA,394.98,402.75,2.4603752468338e-06,0.38485851191708,NA
"TD","20",100,66.09,NA,NA,136.18,143.95,7.96514445495644e-05,9.26308934022468,NA
"TD","21",100,101.14,NA,NA,206.28,214.05,0.929113629971718,1.82912386984058,NA
"TD","22",100,58.87,NA,NA,121.74,129.51,0.0123874888682159,9.25440568824214,NA
"TD","23",100,45.12,NA,NA,94.24,102.01,4.29245465459177e-05,1.01876181251626,NA
"TD","24",100,102.84,NA,NA,209.68,217.45,2.17831276986803e-05,1.81149177842832,NA
"TD","25",100,92.87,NA,NA,189.74,197.51,0.000328664392058628,0.795006702802028,NA
"TD","26",100,199.07,NA,NA,402.14,409.91,0.000433231766441702,0.427873440856039,NA
"TD","27",100,94.01,NA,NA,192.02,199.79,0.000168227839779265,1.11701945838035,NA
"TD","28",100,139.13,NA,NA,282.26,290.03,0.000233561732821144,0.471189332094704,NA
"TD","29",100,194.89,NA,NA,393.78,401.55,0.999993621292738,0.675237108722187,NA
"TD","31",100,69.85,NA,NA,143.7,151.47,0.00885838659835984,9.92981272323205,NA
"TD","32",100,109.7,NA,NA,223.4,231.17,3.57804448293476e-07,0.546586459060572,NA
"TD","34",100,83.78,NA,NA,171.56,179.33,0.964158540718485,9.86950938361849,NA
"TD","35",100,113.34,NA,NA,230.68,238.45,0.000109728326746966,0.818176529902357,NA
"TD","36",100,171.73,NA,NA,347.46,355.23,0.000114459144177531,0.705810867908893,NA
"TD","37",100,83.82,NA,NA,171.64,179.41,0.000122415378840314,0.749340940432064,NA
"TD","38",100,937.46,NA,NA,1878.92,1886.69,0.13545102680881,2.82412971166962,NA
"TD","39",100,236.65,NA,NA,477.3,485.07,0.000443401797556045,0.390729434779533,NA
"TD","40",100,170.94,NA,NA,345.88,353.65,0.00753711285756081,0.568238186540613,NA
"TD","41",100,86.13,NA,NA,176.26,184.03,0.000123396327612072,0.73597220714361,NA
"TD","42",100,80.94,NA,NA,165.88,173.65,0.913758064003997,2.08836766623129,NA
"TD","43",100,37.14,NA,NA,78.28,86.05,0.000355591925625309,1.09874163311618,NA
"TD","44",100,64.16,NA,NA,132.32,140.09,0.000393986973226215,1.30259240484556,NA
"TD","45",100,118.02,NA,NA,240.04,247.81,0.904357894756295,9.98900208805417,NA
"TD","46",100,131.29,NA,NA,266.58,274.35,0.00537632373136107,0.984208915084538,NA
"TD","47",100,219.57,NA,NA,443.14,450.91,0.999975717327503,0.792707502983719,NA
"TD","48",100,220.42,NA,NA,444.84,452.61,0.999842245950591,0.417084597226416,NA
"TD","49",100,137.41,NA,NA,278.82,286.59,0.913839199183304,0.967178934978005,NA
"TD","50",100,302.52,NA,NA,609.04,616.81,1.32749504889594e-05,0.0519401403527162,NA
"TD","51",100,139.36,NA,NA,282.72,290.49,6.60748700461286e-05,0.787175653472426,NA
"TD","52",100,197.36,NA,NA,398.72,406.49,1.23096786666405e-05,0.422981964479183,NA
"TD","53",100,118.34,NA,NA,240.68,248.45,3.63520453593546e-05,0.567801283783132,NA
"TD","54",100,201.15,NA,NA,406.3,414.07,4.66474641448063e-05,0.524486969082458,NA
"TD","55",100,57.9,NA,NA,119.8,127.57,9.66020177507153e-06,1.05119459753612,NA
"TD","56",100,78.29,NA,NA,160.58,168.35,0.000199593015989394,0.933820786447809,NA
"TD","57",100,410.04,NA,NA,824.08,831.85,0.985236053385747,9.64158540718485,NA
"TD","58",100,174.68,NA,NA,353.36,361.13,0.983444930476352,0.754164786145783,NA
"TD","59",100,45.64,NA,NA,95.28,103.05,2.45613505197191e-05,1.05727881225469,NA
"TD","60",100,102.3,NA,NA,208.6,216.37,0.026321036568098,1.68212574234094,NA
"TD","61",100,128.31,NA,NA,260.62,268.39,1.81115329782922e-06,0.593599135540253,NA
"TD","62",100,212.04,NA,NA,428.08,435.85,0.0279147496311911,0.388861596125078,NA
"TD","63",100,55.53,NA,NA,115.06,122.83,0.000972477691492244,6.49437115954105,NA
"TD","64",100,96.96,NA,NA,197.92,205.69,0.904304276060063,9.88477597751064,NA
"TD","65",100,123.34,NA,NA,250.68,258.45,0.000260891056308242,0.789232985483869,NA
"TD","67",100,165.73,NA,NA,335.46,343.23,0.00848445093161702,0.611701830761157,NA
"TD","68",100,175.81,NA,NA,355.62,363.39,0.000589839388453413,0.496139853222373,NA
"TD","69",100,247.14,NA,NA,498.28,506.05,0.0890132740511561,0.00484277922352301,NA
"TD","70",100,87.33,NA,NA,178.66,186.43,0.000244162262596557,0.779852235344596,NA
"TD","71",100,226.47,NA,NA,456.94,464.71,3.04397563629843e-06,0.0335443709906701,NA
"TD","72",100,249.34,NA,NA,502.68,510.45,0.814692125994703,8.35502066435799e-05,NA
"TD","73",100,83.64,NA,NA,171.28,179.05,0.00813480668848866,9.91297539111127,NA
"TD","74",100,926.22,NA,NA,1856.44,1864.21,0.0417382643924493,0.813613660479357,NA
"TD","75",100,74.79,NA,NA,153.58,161.35,7.15774135583817e-05,1.27109765642982,NA
"TD","76",100,210.53,NA,NA,425.06,432.83,0.000190233489572772,0.425550709135858,NA
"TD","77",100,134.49,NA,NA,272.98,280.75,0.00114880366541358,0.634626215615688,NA
"TD","78",100,116.34,NA,NA,236.68,244.45,0.999941539694688,0.977662430557947,NA
"TD","79",100,160.97,NA,NA,325.94,333.71,0.9913452048977,0.752845605816353,NA
"TD","80",100,100.03,NA,NA,204.06,211.83,0.00596155597288287,0.749153234705221,NA
"TD","81",100,156.62,NA,NA,317.24,325.01,0.0054536645941572,9.94904633946155,NA
"TD","82",100,94.63,NA,NA,193.26,201.03,0.000124971436444621,1.04805119514377,NA
"TD","83",100,85.17,NA,NA,174.34,182.11,0.000251893163053806,0.770314206366928,NA
"TD","84",100,83.1,NA,NA,170.2,177.97,0.00058645507736666,7.70573345905531,NA
"TD","85",100,158.45,NA,NA,320.9,328.67,0.000105403788976498,0.431095199302615,NA
"TD","86",100,91.05,NA,NA,186.1,193.87,0.906439790688911,9.93688841923474,NA
"TD","87",100,206.97,NA,NA,417.94,425.71,0.996279550072643,0.537085755226229,NA
"TD","88",100,170.23,NA,NA,344.46,352.23,6.62542205344716e-08,0.339422355573757,NA
"TD","89",100,87.29,NA,NA,178.58,186.35,6.07166189617292e-05,0.660561439134281,NA
"TD","90",100,214.16,NA,NA,432.32,440.09,0.338045661165919,0.039231141965094,NA
"TD","91",100,135.32,NA,NA,274.64,282.41,0.000230818667208203,0.568388758962354,NA
"TD","92",100,131.4,NA,NA,266.8,274.57,6.39466134133571e-05,0.608860857196936,NA
"TD","93",100,198.18,NA,NA,400.36,408.13,0.999305300844012,0.492471234294068,NA
"TD","94",100,837.32,NA,NA,1678.64,1686.41,0.000547399448897208,1.50477082631656,NA
"TD","95",100,129.1,NA,NA,262.2,269.97,3.31876418510906e-08,0.56135886493927,NA
"TD","96",100,173.37,NA,NA,350.74,358.51,3.65127448228936e-06,0.484977759175369,NA
"TD","97",100,72.63,NA,NA,149.26,157.03,0.00457559593656187,0.930099826142672,NA
"TD","98",100,132.59,NA,NA,269.18,276.95,5.3474930022588e-05,0.530587259368599,NA
"TD","99",100,97.29,NA,NA,198.58,206.35,0.0131575826484076,8.9466195066685,NA
"TD","100",100,133.84,NA,NA,271.68,279.45,0.933851103436781,1.01125010140793,NA
"TD","101",100,192.51,NA,NA,389.02,396.79,1.37100923457847e-06,0.31123253441442,NA
