"simulate_model","fit_model","iteration","ACC","LogL","LogPr","LogPo","AIC","BIC","input_param_1","input_param_2","output_param_1","output_param_2","output_param_3","input_param_3"
"TD","TD",1,100,-112.88,NA,NA,229.76,237.53,0.643091264180839,0.83357874206723,0.786554423207438,0.813258606377079,NA,NA
"TD","TD",2,100,-95.46,NA,NA,194.92,202.69,0.724670132622123,1.43561604238095,0.859433087094729,3.41639548923777,NA,NA
"TD","TD",3,100,-104.85,NA,NA,213.7,221.47,0.950232450617477,2.03779015681686,0.885038899137905,3.49241427310353,NA,NA
"TD","TD",4,100,-201.5,NA,NA,407,414.77,0.682289758697152,0.0720224548131227,0.789539387866851,0.0630122781342261,NA,NA
"TD","TD",5,100,-129.68,NA,NA,263.36,271.13,0.200363578274846,1.00568439900399,0.137661057080894,0.947141565832407,NA,NA
"TD","TD",6,100,-170.52,NA,NA,345.04,352.81,0.321220333920792,0.298665664158762,0.197406734216027,0.311341985576084,NA,NA
"TD","TD",7,100,-213.82,NA,NA,431.64,439.41,0.571441247593611,0.0502132950350642,0.78720690374367,0.042502467190957,NA,NA
"TD","TD",8,100,-140.39,NA,NA,284.78,292.55,0.973066303646192,0.392999498639256,0.844379646839041,0.420832915880166,NA,NA
"TD","TD",9,100,-249.53,NA,NA,503.06,510.83,0.895209939451888,0.0054737395918251,0,0,NA,NA
"TD","TD",10,100,-161.99,NA,NA,327.98,335.75,0.0494146177079529,0.507862410508096,0.0441359428329148,0.524197835686391,NA,NA
"TD","TD",11,100,-201.52,NA,NA,407.04,414.81,0.197620301274583,0.18983699940145,0.0833318798353159,0.182840284787335,NA,NA
"TD","TD",12,100,-194.71,NA,NA,393.42,401.19,0.0560640415642411,0.566026730462909,0.048962135161583,0.602276270714544,NA,NA
"TD","TD",13,100,-139.46,NA,NA,282.92,290.69,0.051307131536305,1.23247370731968,0.0441323481012358,1.36711419745686,NA,NA
"TD","TD",14,100,-177.69,NA,NA,359.38,367.15,0.989872474921867,0.208000437050192,0.790077951869845,0.200941761628148,NA,NA
"TD","TD",15,100,-140.02,NA,NA,284.04,291.81,0.711294803768396,0.57632797351107,0.722647632617403,0.587514326193706,NA,NA
"TD","TD",16,100,-259.19,NA,NA,522.38,530.15,0.0768930825870484,0.00966986734420061,0.01,0.01,NA,NA
"TD","TD",17,100,-90.8,NA,NA,185.6,193.37,0.797194604296237,2.5054881726885,0.810917551958603,1.34103499161809,NA,NA
"TD","TD",18,100,-98.99,NA,NA,201.98,209.75,0.731893435353413,1.27495420533688,0.788777873955347,1.19435684277308,NA,NA
"TD","TD",19,100,-106.77,NA,NA,217.54,225.31,0.809085062006488,0.797056699129653,0.798365419254418,0.895964211748898,NA,NA
"TD","TD",20,100,-111.58,NA,NA,227.16,234.93,0.511981163173914,2.39124982816227,0.225037823558931,0.894505461401061,NA,NA
"TD","TD",21,100,-116.71,NA,NA,237.42,245.19,0.226354157319292,1.66897989056053,0.146317310204139,1.09894552394609,NA,NA
"TD","TD",22,100,-127.4,NA,NA,258.8,266.57,0.300222688354552,0.955442077438247,0.153313795921752,0.929764491078188,NA,NA
"TD","TD",23,100,-105.27,NA,NA,214.54,222.31,0.984172471100464,1.69604673600736,0.888917157309725,3.53639123102774,NA,NA
"TD","TD",24,100,-174.5,NA,NA,353,360.77,0.540354023920372,0.234106497689865,0.244130829909462,0.250847690515347,NA,NA
"TD","TD",25,100,-157.37,NA,NA,318.74,326.51,0.870058757020161,0.327183235902339,0.819219297960565,0.322439665501384,NA,NA
"TD","TD",26,100,-109.54,NA,NA,223.08,230.85,0.0660558908712119,1.97567781611326,0.0595588700092997,2.11876028524339,NA,NA
"TD","TD",27,100,-168.49,NA,NA,340.98,348.75,0.973287776112556,0.260513227898628,0.838788491715234,0.269876639337307,NA,NA
"TD","TD",28,100,-126.34,NA,NA,256.68,264.45,0.290595552418381,1.05573849655212,0.155695696229137,0.930538480625431,NA,NA
"TD","TD",29,100,-175.23,NA,NA,354.46,362.23,0.988910319516435,0.211397308856249,0.824908484253024,0.221530057016041,NA,NA
"TD","TD",30,100,-115.18,NA,NA,234.36,242.13,0.329378831898794,2.0851063261411,0.195357344401356,1.03665477817574,NA,NA
"TD","TD",31,100,-137.1,NA,NA,278.2,285.97,0.11878991080448,0.835414388175023,0.0907817193121224,1.03229296161372,NA,NA
"TD","TD",32,100,-176.4,NA,NA,356.8,364.57,0.0508385861758143,0.410096168983728,0.0437577953424469,0.426506014167866,NA,NA
"TD","TD",33,100,-115.86,NA,NA,235.72,243.49,0.684979062527418,0.756628525771442,0.782876348055193,0.782273171256484,NA,NA
"TD","TD",34,100,-201.39,NA,NA,406.78,414.55,0.842564480379224,0.0599249633960426,0.689215336469736,0.0682766691040192,NA,NA
"TD","TD",35,100,-114.32,NA,NA,232.64,240.41,0.27115519088693,2.69503675574873,0.181277874931014,1.12009297638107,NA,NA
"TD","TD",36,100,-124.09,NA,NA,252.18,259.95,0.779200294986367,0.457588243763894,0.804343821510594,0.479337970343678,NA,NA
"TD","TD",37,100,-104.91,NA,NA,213.82,221.59,0.982565350597724,3.92570209977795,0.885052846774083,3.37898215464276,NA,NA
"TD","TD",38,100,-175.3,NA,NA,354.6,362.37,0.533772448310629,0.225168376229703,0.214355992613027,0.267919723453705,NA,NA
"TD","TD",39,100,-124.75,NA,NA,253.5,261.27,0.128862570039928,1.75030500992181,0.111387738523947,1.15801682068456,NA,NA
"TD","TD",40,100,-202.68,NA,NA,409.36,417.13,0.420502026332542,0.0828633031448371,0.700756393328414,0.062814052060211,NA,NA
"TD","TD",41,100,-110.12,NA,NA,224.24,232.01,0.860091791022569,1.2001721150753,0.833073172212909,0.964161691154116,NA,NA
"TD","TD",42,100,-157.88,NA,NA,319.76,327.53,0.633000507717952,0.316391955215622,0.701459383733841,0.300154276093243,NA,NA
"TD","TD",43,100,-111.59,NA,NA,227.18,234.95,0.512010124279186,2.01376353887389,0.237411489543616,0.897458271022162,NA,NA
"TD","TD",44,100,-112.53,NA,NA,229.06,236.83,0.4054856733419,3.89528230370438,0.274749160518298,1.00733092723218,NA,NA
"TD","TD",45,100,-177.83,NA,NA,359.66,367.43,0.319981756620109,0.264156529679894,0.17724490230677,0.288218301661976,NA,NA
"TD","TD",46,100,-112.81,NA,NA,229.62,237.39,0.947748523205519,1.36391219958187,0.863427942605839,1.05529165486926,NA,NA
"TD","TD",47,100,-118.99,NA,NA,241.98,249.75,0.885661983396858,1.4762263855988,0.82619710946852,0.712113037934054,NA,NA
"TD","TD",48,100,-199.86,NA,NA,403.72,411.49,0.119032545015216,0.210982074495405,0.0698687872771093,0.22207170188256,NA,NA
"TD","TD",49,100,-131.18,NA,NA,266.36,274.13,0.931592519162223,0.648705839645118,0.867135025141035,0.765971437249148,NA,NA
"TD","TD",50,100,-90.81,NA,NA,185.62,193.39,0.753800751408562,2.89878896835935,0.810834721871969,1.33865691310128,NA,NA
"TD","TD",51,100,-178.2,NA,NA,360.4,368.17,0.080542077543214,0.38312963815406,0.0646851260679588,0.39362303916804,NA,NA
"TD","TD",52,100,-192.61,NA,NA,389.22,396.99,0.0462017410900444,0.577519766520709,0.0434130398374939,0.646276628372441,NA,NA
"TD","TD",53,100,-118.59,NA,NA,241.18,248.95,0.407168375095353,0.8810732345608,0.173673792890572,0.859120859601115,NA,NA
"TD","TD",54,100,-148.63,NA,NA,301.26,309.03,0.960197768406942,0.629818245768547,0.89072470359643,5,NA,NA
"TD","TD",55,100,-199.68,NA,NA,403.36,411.13,0.745619997614995,0.0838289222957155,0.714398679871843,0.0694962684466803,NA,NA
"TD","TD",56,100,-190.25,NA,NA,384.5,392.27,0.387793875532225,0.184212701395154,0.535700536453533,0.12326727659129,NA,NA
"TD","TD",57,100,-156.7,NA,NA,317.4,325.17,0.640330957481638,0.323464683257043,0.702155215203773,0.304534061404836,NA,NA
