"fit_model","Subject","ACC","LogL","LogPr","LogPo","AIC","BIC","param_1","param_2","param_3"
"TD","1",100,239.95,NA,NA,483.9,491.67,0,0.0305861439076447,NA
"TD","2",100,203.76,NA,NA,411.52,419.29,0.692568573299322,0.0693950631326719,NA
"TD","3",100,251.11,NA,NA,506.22,513.99,0.01,0.01,NA
"TD","4",100,61.71,NA,NA,127.42,135.19,0.00835976309202903,1.84747271842007,NA
"TD","5",100,147.13,NA,NA,298.26,306.03,0,1.26819553744418,NA
"TD","6",100,255.31,NA,NA,514.62,522.39,0.01,0.01,NA
"TD","7",100,144,NA,NA,292,299.77,0.980965684531105,0.687952658847947,NA
"TD","8",100,151.99,NA,NA,307.98,315.75,0.955006198447067,0.508359039270638,NA
"TD","9",100,152.36,NA,NA,308.72,316.49,0,0.41113851826221,NA
"TD","10",100,51.41,NA,NA,106.82,114.59,0,1.30564568197436,NA
"TD","11",100,104.96,NA,NA,213.92,221.69,0,0.642722512794912,NA
"TD","12",100,213.74,NA,NA,431.48,439.25,0,0.119483316459045,NA
"TD","13",100,126.14,NA,NA,256.28,264.05,0.941675677063934,0.953694641433341,NA
"TD","14",100,76.52,NA,NA,157.04,164.81,0,0.703934398742995,NA
"TD","15",100,186.84,NA,NA,377.68,385.45,1,0.546995495833538,NA
"TD","16",100,126.84,NA,NA,257.68,265.45,0.955533375510246,1.1430888822659,NA
"TD","17",100,198.49,NA,NA,400.98,408.75,0.0390296263034065,0.342485495764589,NA
"TD","18",100,208.26,NA,NA,420.52,428.29,0,0.296755532383189,NA
"TD","19",100,192.77,NA,NA,389.54,397.31,0,0.38290017548815,NA
"TD","20",100,105.28,NA,NA,214.56,222.33,1,1.19108714108288,NA
"TD","21",100,101.63,NA,NA,207.26,215.03,0.920170262799983,1.64838032253451,NA
"TD","22",100,105.39,NA,NA,214.78,222.55,0.956911089509052,6.78120196216112,NA
"TD","23",100,46.34,NA,NA,96.68,104.45,0,4.59081853668154,NA
"TD","24",100,231.45,NA,NA,466.9,474.67,0,0.021533202492564,NA
"TD","25",100,91.83,NA,NA,187.66,195.43,0,0.662728975502521,NA
"TD","26",100,232.2,NA,NA,468.4,476.17,0.988919430779899,0.516422244716348,NA
"TD","27",100,135.32,NA,NA,274.64,282.41,0.984697473306488,0.864215012759683,NA
"TD","28",100,230.36,NA,NA,464.72,472.49,0.01,0.01,NA
"TD","29",100,126.24,NA,NA,256.48,264.25,0.00400512754991416,0.850880651492062,NA
"TD","31",100,121.74,NA,NA,247.48,255.25,1,0.85664248484404,NA
"TD","32",100,111.31,NA,NA,226.62,234.39,0,0.531860983688936,NA
"TD","34",100,83.78,NA,NA,171.56,179.33,0.980603880515194,6.92411450256675,NA
"TD","35",100,146.3,NA,NA,296.6,304.37,0.949947312934479,0.859044666421053,NA
"TD","36",100,223.26,NA,NA,450.52,458.29,0.915107410307188,0.839063630762396,NA
"TD","37",100,134.72,NA,NA,273.44,281.21,0.982688514233794,0.783072966113397,NA
"TD","38",100,952.03,NA,NA,1908.06,1915.83,0.01,0.01,NA
"TD","39",100,254.59,NA,NA,513.18,520.95,0.01,0.01,NA
"TD","40",100,132,NA,NA,268,275.77,0.00619522099105821,0.53857144813891,NA
"TD","41",100,149.56,NA,NA,303.12,310.89,0.948094675153901,0.732536304815363,NA
"TD","42",100,82.36,NA,NA,168.72,176.49,0.914935645571007,1.39443270530878,NA
"TD","43",100,39.27,NA,NA,82.54,90.31,0,1.00255590585262,NA
"TD","44",100,58.73,NA,NA,121.46,129.23,0,1.11510661225531,NA
"TD","45",100,69.31,NA,NA,142.62,150.39,0,3.09134319300437,NA
"TD","46",100,129.83,NA,NA,263.66,271.43,0.00337077882523659,0.825655955062852,NA
"TD","47",100,219.57,NA,NA,443.14,450.91,1,0.798192527066159,NA
"TD","48",100,240.13,NA,NA,484.26,492.03,0.01,0.01,NA
"TD","49",100,147.68,NA,NA,299.36,307.13,0.963057918588457,0.77277095740005,NA
"TD","50",100,322.5,NA,NA,649,656.77,0.07498411141678,0.105278728580233,NA
"TD","51",100,180.28,NA,NA,364.56,372.33,0.976785323876129,7.92484955496181,NA
"TD","52",100,231.4,NA,NA,466.8,474.57,0.994172006694451,0.478569817377877,NA
"TD","53",100,234.75,NA,NA,473.5,481.27,0.01,0.01,NA
"TD","54",100,193.03,NA,NA,390.06,397.83,0,0.469025835307816,NA
"TD","55",100,53.33,NA,NA,110.66,118.43,0,1.03384309286873,NA
"TD","56",100,70.87,NA,NA,145.74,153.51,0,0.842329973182935,NA
"TD","57",100,410.04,NA,NA,824.08,831.85,0.940145549521782,6.53708365959666,NA
"TD","58",100,91.25,NA,NA,186.5,194.27,0,0.728544306686218,NA
"TD","59",100,137.04,NA,NA,278.08,285.85,0.998583510335565,0.802482760279728,NA
"TD","60",100,118.09,NA,NA,240.18,247.95,0.0258319172114552,0.517689665084392,NA
"TD","61",100,242.65,NA,NA,489.3,497.07,0.01,0.01,NA
"TD","62",100,219.31,NA,NA,442.62,450.39,0.909304772534959,0.0353572552652995,NA
"TD","63",100,124.43,NA,NA,252.86,260.63,1,1.70940048145019,NA
"TD","64",100,41.41,NA,NA,86.82,94.59,0,0.94177754031683,NA
"TD","65",100,250.31,NA,NA,504.62,512.39,0.01,0.01,NA
"TD","67",100,121.76,NA,NA,247.52,255.29,0.00831133462612215,0.603224271715439,NA
"TD","68",100,215.21,NA,NA,434.42,442.19,0.97907610346314,0.51360252050257,NA
"TD","69",100,247.31,NA,NA,498.62,506.39,0.0173228547210092,0.00412043165082425,NA
"TD","70",100,141.07,NA,NA,286.14,293.91,1,0.729358905954214,NA
"TD","71",100,225.92,NA,NA,455.84,463.61,0,0.0335645701145198,NA
"TD","72",100,249.34,NA,NA,502.68,510.45,0.280314875145978,8.01211394309648e-05,NA
