"fit_model","Subject","ACC","LogL","LogPr","LogPo","AIC","BIC","param_1","param_2","param_3"
"TD","1",100,232.92,NA,NA,469.84,477.61,6.14187362816293e-07,0.0313595147027591,NA
"TD","2",100,198.26,NA,NA,400.52,408.29,0.981505026590704,0.300347079877135,NA
"TD","3",100,135.55,NA,NA,275.1,282.87,0.00153679040707299,8.0489714289271,NA
"TD","4",100,55.34,NA,NA,114.68,122.45,0.0132300344930516,4.13124452201648,NA
"TD","5",100,140.85,NA,NA,285.7,293.47,0.00119614536456776,5.85113860210109,NA
"TD","6",100,130.99,NA,NA,265.98,273.75,0.00456632662317925,0.969236658778459,NA
"TD","7",100,137.09,NA,NA,278.18,285.95,0.999999885695833,0.676619451939165,NA
"TD","8",100,75.75,NA,NA,155.5,163.27,0.0134034818055522,1.20772391492037,NA
"TD","9",100,145.31,NA,NA,294.62,302.39,3.94167783085858e-09,0.413349935780801,NA
"TD","10",100,44.62,NA,NA,93.24,101.01,0.00627342306162857,8.75915062982591,NA
"TD","11",100,127.01,NA,NA,258.02,265.79,0.00420886251215182,9.89826042405068,NA
"TD","12",100,206.69,NA,NA,417.38,425.15,9.66984383516038e-09,0.125537057016212,NA
"TD","13",100,67.01,NA,NA,138.02,145.79,0.00146277367960193,9.44125819148817,NA
"TD","14",100,90.09,NA,NA,184.18,191.95,0.00353345496905728,9.41812003272633,NA
"TD","15",100,160,NA,NA,324,331.77,0.00193205254167834,6.70785069995957,NA
"TD","16",100,120.07,NA,NA,244.14,251.91,0.907323266714174,5.01826078127021,NA
"TD","17",100,196.63,NA,NA,397.26,405.03,0.0436475797589816,0.135591656821669,NA
"TD","18",100,201.33,NA,NA,406.66,414.43,1.08692107762588e-07,0.29959203884094,NA
"TD","19",100,185.91,NA,NA,375.82,383.59,1.40055090371224e-07,0.394775759310544,NA
"TD","20",100,30.09,NA,NA,64.18,71.95,0.00427396706599438,6.66578033643491,NA
"TD","21",100,34.02,NA,NA,72.04,79.81,0.000361299009861898,7.78891070421322,NA
"TD","22",100,34.02,NA,NA,72.04,79.81,0.00354213327664422,6.88203945222893,NA
"TD","23",100,39.32,NA,NA,82.64,90.41,0.00370492774548348,8.09062561340005,NA
"TD","24",100,99.32,NA,NA,202.64,210.41,2.64842841429701e-08,8.76530289941465,NA
"TD","25",100,103.25,NA,NA,210.5,218.27,0.00458211254156891,8.07572719164379,NA
"TD","26",100,225.63,NA,NA,455.26,463.03,0.993665584385171,0.506546956271362,NA
"TD","27",100,128.5,NA,NA,261,268.77,0.96820570823348,0.877274616524183,NA
"TD","28",100,173.9,NA,NA,351.8,359.57,0.964547858983075,0.496205464516421,NA
"TD","29",100,124.26,NA,NA,252.52,260.29,0.0108716025858863,3.23430795022085,NA
"TD","31",100,57.78,NA,NA,119.56,127.33,1.92976462017737e-08,8.14533919504131,NA
"TD","32",100,154.7,NA,NA,313.4,321.17,0.00507069560050715,7.56452260855128,NA
"TD","34",100,21.54,NA,NA,47.08,54.85,0.00298988602443855,5.17653401896703,NA
"TD","35",100,122.39,NA,NA,248.78,256.55,0.00351440747740774,8.73513056524327,NA
"TD","36",100,216.85,NA,NA,437.7,445.47,0.914943163097026,0.844747040506787,NA
"TD","37",100,92.54,NA,NA,189.08,196.85,0.0122464210037392,3.8453403713248,NA
"TD","38",100,242.41,NA,NA,488.82,496.59,0.801921923124014,1.23282702092841e-08,NA
"TD","39",100,242.4,NA,NA,488.8,496.57,0.477233009720078,9.13856890335666e-08,NA
"TD","40",100,172.32,NA,NA,348.64,356.41,0.96030671254654,0.435074176931409,NA
"TD","41",100,99.32,NA,NA,202.64,210.41,0.00363611281986203,9.92709985569367,NA
"TD","42",100,29.41,NA,NA,62.82,70.59,0.000658551163923373,6.77959826867079,NA
"TD","43",100,35.39,NA,NA,74.78,82.55,0.00038812710765008,7.86986980394735,NA
"TD","44",100,53.17,NA,NA,110.34,118.11,0.000498160994193938,7.33833239636546,NA
"TD","45",100,62.39,NA,NA,128.78,136.55,2.87164396286614e-08,3.3386410728347,NA
"TD","46",100,127.12,NA,NA,258.24,266.01,0.00854099149259673,1.19676522834863,NA
"TD","47",100,213.54,NA,NA,431.08,438.85,0.976592290159448,0.819482537221515,NA
"TD","48",100,157.7,NA,NA,319.4,327.17,1.4876875594695e-08,0.424725067610844,NA
"TD","49",100,85.47,NA,NA,174.94,182.71,0.00444096122580673,6.69665675915236,NA
"TD","50",100,242.41,NA,NA,488.82,496.59,0.144382480094255,3.78215096929314e-08,NA
"TD","51",100,141.54,NA,NA,287.08,294.85,0.00382296830338173,9.42132082210388,NA
"TD","52",100,224.79,NA,NA,453.58,461.35,0.986935362736351,0.480361841184434,NA
"TD","53",100,156.73,NA,NA,317.46,325.23,0.971543294064873,0.606983750960313,NA
"TD","54",100,186.23,NA,NA,376.46,384.23,2.86694084862748e-08,0.471029186322597,NA
"TD","55",100,48.55,NA,NA,101.1,108.87,3.36740938093023e-08,6.9792566118826,NA
"TD","56",100,72.31,NA,NA,148.62,156.39,0.0027814039819934,9.99999980602049,NA
"TD","57",100,243.59,NA,NA,491.18,498.95,7.78812416551228e-09,3.20594575006912e-06,NA
"TD","58",100,99.32,NA,NA,202.64,210.41,0.00171388319690164,9.3104863827027,NA
"TD","59",100,71.63,NA,NA,147.26,155.03,0.00415121115452848,5.51893164838793,NA
"TD","60",100,98.02,NA,NA,200.04,207.81,0.0260064599090118,1.43732598410451,NA
"TD","61",100,130.12,NA,NA,264.24,272.01,0.00484728582383239,0.777628344828606,NA
"TD","62",100,201.83,NA,NA,407.66,415.43,0.0276814185083166,0.384366167303767,NA
"TD","63",100,48.55,NA,NA,101.1,108.87,0.000435348150628794,8.94591020153358,NA
"TD","64",100,38.64,NA,NA,81.28,89.05,8.67015678185332e-09,7.76799985087723,NA
"TD","65",100,136.24,NA,NA,276.48,284.25,0.00130111389405455,9.34352593115674,NA
"TD","67",100,114.62,NA,NA,233.24,241.01,0.00935362097722101,0.642028185753094,NA
"TD","68",100,206.85,NA,NA,417.7,425.47,0.916186275519566,0.543106612712614,NA
"TD","69",100,240.19,NA,NA,484.38,492.15,0.027066353324373,0.00480789987730787,NA
"TD","70",100,92.28,NA,NA,188.56,196.33,0.0136315845493883,4.45445019324964,NA
"TD","71",100,220.65,NA,NA,445.3,453.07,7.48212328295827e-09,0.177866655265672,NA
"TD","72",100,242.38,NA,NA,488.76,496.53,1.4150989467883e-08,4.14613331813275e-06,NA
"TD","73",100,80.86,NA,NA,165.72,173.49,0.00326040395514999,4.68957756482471,NA
"TD","74",100,242.44,NA,NA,488.88,496.65,0.556515710360073,4.66683784348377e-08,NA
"TD","75",100,76.24,NA,NA,156.48,164.25,0.00249101293376221,8.32900387060418,NA
"TD","76",100,235.71,NA,NA,475.42,483.19,0.999997682117709,0.0281128178939174,NA
"TD","77",100,162.31,NA,NA,328.62,336.39,0.924913235800524,0.740986439043279,NA
"TD","78",100,47.3,NA,NA,98.6,106.37,0.0110167555314836,5.00389873027879,NA
"TD","79",100,113.16,NA,NA,230.32,238.09,0.00163859458471187,8.73552874885742,NA
"TD","80",100,111.71,NA,NA,227.42,235.19,0.0174665405658945,1.66547621012255,NA
"TD","81",100,103.93,NA,NA,211.86,219.63,0.00274931803396906,9.99999966074991,NA
"TD","82",100,90.09,NA,NA,184.18,191.95,0.000417507272560796,5.89607348669791,NA
"TD","83",100,154.15,NA,NA,312.3,320.07,0.999999920827905,0.745307769972397,NA
"TD","84",100,80.86,NA,NA,165.72,173.49,0.000709120933086186,7.80129468813188,NA
"TD","85",100,186.34,NA,NA,376.68,384.45,0.999999953512376,0.473334604723523,NA
"TD","86",100,30.09,NA,NA,64.18,71.95,0.00150418087251505,9.23780367514583,NA
"TD","87",100,200.2,NA,NA,404.4,412.17,0.978410756108667,0.542752027164867,NA
"TD","88",100,221.74,NA,NA,447.48,455.25,0.147043906291187,0.0315366764922233,NA
"TD","89",100,122.36,NA,NA,248.72,256.49,0.0060503592133373,4.92190026141831,NA
"TD","90",100,193.29,NA,NA,390.58,398.35,7.13688128633784e-09,0.163028905163201,NA
"TD","91",100,173.16,NA,NA,350.32,358.09,0.000744598448007143,8.659915329854,NA
"TD","92",100,189.94,NA,NA,383.88,391.65,0.957941928280547,0.62138426760728,NA
"TD","93",100,191.4,NA,NA,386.8,394.57,0.988792841644637,0.493461817058107,NA
