"fit_model","Subject","ACC","LogL","LogPr","LogPo","AIC","BIC","param_1","param_2","param_3"
"TD","1",100,232.62,NA,NA,469.24,477.01,0.0125158894140509,0.317367379395358,NA
"TD","2",100,169.95,NA,NA,343.9,351.67,0.00493963451100171,0.294402324033456,NA
"TD","3",100,135.56,NA,NA,275.12,282.89,0.00715711721965995,9.6254458501858,NA
"TD","4",100,71.53,NA,NA,147.06,154.83,0.019383126135008,4.71479156823445,NA
"TD","5",100,228.83,NA,NA,461.66,469.43,0.0508307732592104,1.80724360671686,NA
"TD","6",100,486.99,NA,NA,977.98,985.75,0.949149707602758,9.30180212440051,NA
"TD","7",100,183.54,NA,NA,371.08,378.85,0.351846533347547,0.187362866789366,NA
"TD","8",100,77.8,NA,NA,159.6,167.37,0.0163785557686507,1.60238398004628,NA
"TD","9",100,155.33,NA,NA,314.66,322.43,0.00315415116328212,0.42463137148664,NA
"TD","10",100,44.62,NA,NA,93.24,101.01,0.000348296230334888,9.82961880155282,NA
"TD","11",100,170.66,NA,NA,345.32,353.09,0.899512209002227,6.53628126108536,NA
"TD","12",100,207.5,NA,NA,419,426.77,0.000596953916934852,0.135803968506959,NA
"TD","13",100,127.01,NA,NA,258.02,265.79,0.93584961373738,7.95366450522372,NA
"TD","14",100,140.37,NA,NA,284.74,292.51,0.899355972484754,6.75881471180396,NA
"TD","15",100,181.69,NA,NA,367.38,375.15,0.0163785557686507,1.60238398004628,NA
"TD","16",100,214.06,NA,NA,432.12,439.89,0.458727325387866,0.210837105337806,NA
"TD","17",100,192.03,NA,NA,388.06,395.83,0.0442966640105286,0.420974123261454,NA
"TD","18",100,201.8,NA,NA,407.6,415.37,0.000429854736353687,0.306046609232817,NA
"TD","19",100,204.79,NA,NA,413.58,421.35,0.00647460344750805,0.650196543632439,NA
"TD","20",100,207.67,NA,NA,419.34,427.11,0.549921498235959,7.77645970109991,NA
"TD","21",100,130.94,NA,NA,265.88,273.65,0.791237896107421,8.00271271579661,NA
"TD","22",100,111.91,NA,NA,227.82,235.59,0.0212391025129171,9.55209721691683,NA
"TD","23",100,154.7,NA,NA,313.4,321.17,0.791237896107421,8.00271271579661,NA
"TD","24",100,99.34,NA,NA,202.68,210.45,0.00744784253701791,9.46649812673525,NA
"TD","25",100,158.39,NA,NA,320.78,328.55,0.916104429035502,9.07967818338265,NA
"TD","26",100,264.82,NA,NA,533.64,541.41,0.469006820589974,0.0943357242889584,NA
"TD","27",100,133.91,NA,NA,271.82,279.59,0.912050291266017,1.40868600195485,NA
"TD","28",100,132.57,NA,NA,269.14,276.91,0.000702818368469513,0.412669249301039,NA
"TD","29",100,210.08,NA,NA,424.16,431.93,0.973039579259718,7.53649245090531,NA
"TD","31",100,103.62,NA,NA,211.24,219.01,0.019383126135008,4.71479156823445,NA
"TD","32",100,324.56,NA,NA,653.12,660.89,0.914042725024217,5.70185403031845,NA
"TD","34",100,30.42,NA,NA,64.84,72.61,0.0189735826571494,5.43222687126422,NA
"TD","35",100,121.02,NA,NA,246.04,253.81,0.0107430302976345,8.89404034093734,NA
"TD","36",100,242.67,NA,NA,489.34,497.11,0.228680974907846,0.0270780665961205,NA
"TD","37",100,140.16,NA,NA,284.32,292.09,0.916098751034152,9.81527650008591,NA
"TD","38",100,973.65,NA,NA,1951.3,1959.07,0.518048125371164,0.0824643714585849,NA
"TD","39",100,268.45,NA,NA,540.9,548.67,0.0542682352583645,0.234173631112838,NA
"TD","40",100,128.6,NA,NA,261.2,268.97,0.00640501819905526,0.409154962372505,NA
"TD","41",100,109.34,NA,NA,222.68,230.45,0.0144054239503367,9.01515255884346,NA
"TD","42",100,84.79,NA,NA,173.58,181.35,0.948751180026831,8.39176942348627,NA
"TD","43",100,155.38,NA,NA,314.76,322.53,0.725627213177769,8.58816599108168,NA
"TD","44",100,113.41,NA,NA,230.82,238.59,0.906236044223182,7.4126136753678,NA
"TD","45",100,62.4,NA,NA,128.8,136.57,0.00407103982361334,7.73113637320699,NA
"TD","46",100,188.92,NA,NA,381.84,389.61,0.0166905256372338,9.90695207273206,NA
"TD","47",100,227.26,NA,NA,458.52,466.29,0.949718474043466,0.459536406826716,NA
"TD","48",100,184.13,NA,NA,372.26,380.03,0.011780548087191,0.286082967986533,NA
"TD","49",100,213.87,NA,NA,431.74,439.51,0.608268903508177,9.11771910206461,NA
"TD","50",100,319.13,NA,NA,642.26,650.03,0.0753632669231348,0.354688151331086,NA
"TD","51",100,173.89,NA,NA,351.78,359.55,0.909317404557774,9.08937455972085,NA
"TD","52",100,253.13,NA,NA,510.26,518.03,0.397270478487558,0.129981257834429,NA
"TD","53",100,172.68,NA,NA,349.36,357.13,0.0163785557686507,1.60238398004628,NA
"TD","54",100,292.65,NA,NA,589.3,597.07,0.910472435455304,8.04122949583735,NA
"TD","55",100,297.78,NA,NA,599.56,607.33,0.697531686500739,6.1832116048184,NA
"TD","56",100,192.3,NA,NA,388.6,396.37,0.777674889852058,7.26045820660524,NA
"TD","57",100,360.45,NA,NA,724.9,732.67,0.010298470878031,9.26349655284594,NA
"TD","58",100,182.39,NA,NA,368.78,376.55,0.931241233583312,8.98135510465181,NA
"TD","59",100,140.86,NA,NA,285.72,293.49,0.913060258095563,9.34957046145432,NA
"TD","60",100,128.76,NA,NA,261.52,269.29,0.0249596153521003,6.52225528104448,NA
"TD","61",100,247,NA,NA,498,505.77,0.947475906376794,7.53627767021549,NA
"TD","62",100,202.18,NA,NA,408.36,416.13,0.0329400381447129,0.376866848592042,NA
"TD","63",100,118.19,NA,NA,240.38,248.15,0.902409761719125,7.36978277868669,NA
"TD","64",100,149.4,NA,NA,302.8,310.57,0.817128345406421,9.88268652771337,NA
"TD","65",100,196.23,NA,NA,396.46,404.23,0.966489869647293,9.78254033444432,NA
"TD","67",100,120.97,NA,NA,245.94,253.71,0.00352290109988287,0.372747944307394,NA
"TD","68",100,222.77,NA,NA,449.54,457.31,0.633598161380944,0.388404354715222,NA
"TD","69",100,240.25,NA,NA,484.5,492.27,0.232353848514232,0.00374186463795653,NA
"TD","70",100,196.23,NA,NA,396.46,404.23,0.786935730810837,9.85949313213968,NA
"TD","71",100,221.58,NA,NA,447.16,454.93,0.000441148633628461,0.207159222939201,NA
"TD","72",100,244.69,NA,NA,493.38,501.15,0.193244593976693,0.00104387257048556,NA
"TD","73",100,140.85,NA,NA,285.7,293.47,0.970467923115317,8.70617457323076,NA
"TD","74",100,934.24,NA,NA,1872.48,1880.25,0.31373663766083,0.119386397113188,NA
"TD","75",100,113.16,NA,NA,230.32,238.09,0.930845754148581,8.23536099982024,NA
"TD","76",100,263.42,NA,NA,530.84,538.61,0.169526781188238,0.22706284448922,NA
"TD","77",100,211.9,NA,NA,427.8,435.57,0.906291608037464,0.183502360821032,NA
"TD","78",100,50.1,NA,NA,104.2,111.97,0.0106859716293094,8.83387122537152,NA
"TD","79",100,168.54,NA,NA,341.08,348.85,0.970282908256956,5.32763809711575,NA
"TD","80",100,143.05,NA,NA,290.1,297.87,0.0126839786824364,9.84296259639053,NA
"TD","81",100,159.31,NA,NA,322.62,330.39,0.970467923115317,8.70617457323076,NA
"TD","82",100,90.1,NA,NA,184.2,191.97,0.00927335864824119,9.95682870519743,NA
"TD","83",100,234.79,NA,NA,473.58,481.35,0.563081738545984,0.131897467599996,NA
"TD","84",100,191.62,NA,NA,387.24,395.01,0.766787576374651,7.74062104734985,NA
"TD","85",100,233.6,NA,NA,471.2,478.97,0.273900774467215,0.0047457365787581,NA
"TD","86",100,150.33,NA,NA,304.66,312.43,0.633827889987821,9.98841422113709,NA
"TD","87",100,174.18,NA,NA,352.36,360.13,0.00750078286662376,0.859911837430154,NA
"TD","88",100,223.69,NA,NA,451.38,459.15,0.131449457653097,0.0217602888747202,NA
"TD","89",100,144.13,NA,NA,292.26,300.03,0.0192779046854785,4.92149617671995,NA
"TD","90",100,194.42,NA,NA,392.84,400.61,0.000824255403558015,0.162410899945182,NA
"TD","91",100,219.28,NA,NA,442.56,450.33,0.915774398226132,9.80380899061768,NA
"TD","92",100,201.32,NA,NA,406.64,414.41,0.947447241786267,0.371595131968802,NA
"TD","93",100,194.51,NA,NA,393.02,400.79,0.00636946085475359,4.3240163334477,NA
"TD","94",100,921.19,NA,NA,1846.38,1854.15,0.31373663766083,0.119386397113188,NA
"TD","95",100,266.14,NA,NA,536.28,544.05,0.953607378617105,9.89967464791417,NA
"TD","96",100,237.77,NA,NA,479.54,487.31,0.00428975211638231,8.87520072442402,NA
"TD","97",100,124.8,NA,NA,253.6,261.37,0.899355972484754,6.75881471180396,NA
"TD","98",100,225.18,NA,NA,454.36,462.13,0.0243754823842051,9.32943714606313,NA
"TD","99",100,154.7,NA,NA,313.4,321.17,0.972284507736386,7.62040052996203,NA
"TD","100",100,136.24,NA,NA,276.48,284.25,0.944915738386482,9.42171260040804,NA
"TD","101",100,181.32,NA,NA,366.64,374.41,0.000927574871112393,0.311008950442713,NA
"TD","102",100,82.08,NA,NA,168.16,175.93,0.0117569302829909,7.87110645773186,NA
"TD","103",100,397.13,NA,NA,798.26,806.03,0.102491799154346,3.16817613582563,NA
"TD","104",100,143.54,NA,NA,291.08,298.85,0.858056210133735,5.14990168499808,NA
"TD","105",100,117.78,NA,NA,239.56,247.33,0.968421485116154,7.84783086383779,NA
"TD","106",100,121.71,NA,NA,247.42,255.19,0.00237209077291145,4.8241245950688,NA
"TD","107",100,157.7,NA,NA,319.4,327.17,0.0370495240080764,0.851438509231157,NA
"TD","108",100,129.9,NA,NA,263.8,271.57,0.000892337223640877,0.481629492569249,NA
"TD","109",100,155.26,NA,NA,314.52,322.29,0.0161724330368915,0.493142691889603,NA
"TD","110",100,168.3,NA,NA,340.6,348.37,0.0243070998542951,9.93580054373647,NA
"TD","111",100,129.33,NA,NA,262.66,270.43,0.808969499354852,1.06644809883288,NA
"TD","113",100,151.33,NA,NA,306.66,314.43,0.0140466799041825,7.6689835619914,NA
"TD","114",100,706.47,NA,NA,1416.94,1424.71,0.903568768153843,7.42516175893028,NA
"TD","115",100,163.45,NA,NA,330.9,338.67,0.0420907545625182,0.635689868786809,NA
"TD","116",100,235.18,NA,NA,474.36,482.13,0.491458502265615,0.00503331306366106,NA
"TD","117",100,224.16,NA,NA,452.32,460.09,0.0269579871905,1.37963533125938,NA
"TD","118",100,202.34,NA,NA,408.68,416.45,0.0302433551287046,9.65353506268758,NA
"TD","119",100,164.33,NA,NA,332.66,340.43,0.553170682689952,9.75539705916296,NA
"TD","120",100,224.1,NA,NA,452.2,459.97,0.250644935181085,0.0343185765431143,NA
"TD","121",100,219.25,NA,NA,442.5,450.27,0.915931009833295,2.75675195190182,NA
"TD","122",100,198.63,NA,NA,401.26,409.03,0.0163785557686507,1.60238398004628,NA
"TD","123",100,149.83,NA,NA,303.66,311.43,0.0140107447550905,9.64073055738678,NA
"TD","124",100,188.8,NA,NA,381.6,389.37,0.253851689100708,0.143423720584813,NA
"TD","125",100,154.05,NA,NA,312.1,319.87,0.909400289058675,9.61731142594954,NA
"TD","126",100,134.7,NA,NA,273.4,281.17,0.931974320642921,2.33934850679494,NA
"TD","127",100,416.76,NA,NA,837.52,845.29,0.105959196167886,9.19060601323848,NA
"TD","128",100,225.91,NA,NA,455.82,463.59,0.000944112600730251,0.591101774623743,NA
"TD","129",100,60.72,NA,NA,125.44,133.21,0.0189735826571494,5.43222687126422,NA
"RSTD","1",100,243.45,NA,NA,492.9,504.56,0.597315872590405,0.387300966066606,0.0435622268676188
"RSTD","2",100,194.27,NA,NA,394.54,406.2,0.530930427104504,0.780056130589703,0.0882096942569916
"RSTD","3",100,159.76,NA,NA,325.52,337.18,0.653759954572545,0.999748250116296,0.702557402207412
"RSTD","4",100,60.15,NA,NA,126.3,137.96,0.00506625350106414,0.0166944384042536,0.851613924087531
"RSTD","5",100,141.49,NA,NA,288.98,300.64,0.00134744274134918,0.00263340355063497,1.09110684637318
"RSTD","6",100,242.64,NA,NA,491.28,502.94,0.535862398481765,0.963208209536892,9.28163450709951e-06
"RSTD","7",100,134.44,NA,NA,274.88,286.54,0.772873044796799,0.999953396015875,0.706158971174552
"RSTD","8",100,107.51,NA,NA,221.02,232.68,0.0560477262096828,0.852477318141303,0.497794516757105
"RSTD","9",100,177,NA,NA,360,371.66,0.252636040491396,0.999061164721779,0.286005011827927
"RSTD","10",100,237.42,NA,NA,480.84,492.5,0.597315872590405,0.387300966066606,0.0435622268676188
"RSTD","11",100,147.65,NA,NA,301.3,312.96,0.0839050209765519,0.171082099147478,0.452620815525481
