"fit_model","Subject","ACC","LogL","LogPr","LogPo","AIC","BIC","param_1","param_2","param_3"
"TD","1",100,246.13,NA,NA,496.26,504.03,0.0566332453814603,0.0698124232052323,NA
"TD","2",100,200.56,NA,NA,405.12,412.89,0.39707621619847,0.131686392983647,NA
"TD","3",100,165.13,NA,NA,334.26,342.03,0.972151544691883,0.733982644199485,NA
"TD","4",100,107.55,NA,NA,219.1,226.87,0.927623164040322,0.926502349926692,NA
"TD","5",100,240.22,NA,NA,484.44,492.21,0.0605921439368199,0.719399296127971,NA
"TD","6",100,247.01,NA,NA,498.02,505.79,0.0566332453814603,0.0698124232052323,NA
"TD","7",100,137.47,NA,NA,278.94,286.71,0.972151544691883,0.733982644199485,NA
"TD","8",100,123.53,NA,NA,251.06,258.83,0.0605921439368199,0.719399296127971,NA
"TD","9",100,208.4,NA,NA,420.8,428.57,0.0641777467400289,0.253358167371916,NA
"TD","10",100,104.62,NA,NA,213.24,221.01,0.946342423558235,4.64071176946163,NA
"TD","11",100,147.94,NA,NA,299.88,307.65,0.972151544691883,0.733982644199485,NA
"TD","12",100,216.55,NA,NA,437.1,444.87,0.0566332453814603,0.0698124232052323,NA
"TD","13",100,120.6,NA,NA,245.2,252.97,0.940804048329802,1.20971513275161,NA
"TD","14",100,126.77,NA,NA,257.54,265.31,0.947687441789324,0.799655996491855,NA
"TD","15",100,184.74,NA,NA,373.48,381.25,0.972151544691883,0.733982644199485,NA
"TD","16",100,120.15,NA,NA,244.3,252.07,0.961960988372538,1.13617632918169,NA
"TD","17",100,197.37,NA,NA,398.74,406.51,0.0652067010447178,0.361561896574769,NA
"TD","18",100,236.25,NA,NA,476.5,484.27,0.0566332453814603,0.0698124232052323,NA
"TD","19",100,242.85,NA,NA,489.7,497.47,0.0566332453814603,0.0698124232052323,NA
"TD","20",100,99.06,NA,NA,202.12,209.89,0.961960988372538,1.13617632918169,NA
"TD","21",100,95.96,NA,NA,195.92,203.69,0.898923750961232,3.80812615204841,NA
"TD","22",100,97.52,NA,NA,199.04,206.81,0.961960988372538,1.13617632918169,NA
"TD","23",100,102.12,NA,NA,208.24,216.01,0.961960988372538,1.13617632918169,NA
