"fit_model","Subject","ACC","LogL","LogPr","LogPo","AIC","BIC","param_1","param_2","param_3"
"TD","1",100,235.71,NA,NA,475.42,483.19,0.0281958125706296,0.497666113078594,NA
"TD","2",100,162.33,NA,NA,328.66,336.43,0,0.366232634950993,NA
"TD","3",100,106.75,NA,NA,217.5,225.27,0,0.70562256872654,NA
"TD","4",100,55.08,NA,NA,114.16,121.93,0.0129379905355504,3.56290229735896,NA
"TD","5",100,140.63,NA,NA,285.26,293.03,0,1.53409081956488,NA
"TD","6",100,122.98,NA,NA,249.96,257.73,0,0.754253260791302,NA
"TD","7",100,137.5,NA,NA,279,286.77,0.992145982570946,0.748633235692978,NA
"TD","8",100,76.47,NA,NA,156.94,164.71,0.0148063905871822,1.15966600365937,NA
"TD","9",100,148.68,NA,NA,301.36,309.13,0,0.531909305369481,NA
"TD","10",100,44.62,NA,NA,93.24,101.01,0,4.6219396207016,NA
"TD","11",100,99.96,NA,NA,203.92,211.69,0,0.773935392112456,NA
"TD","12",100,217.1,NA,NA,438.2,445.97,0.0192806158447638,0.0312330152380532,NA
"TD","13",100,65.6,NA,NA,135.2,142.97,0,1.56460320425685,NA
"TD","14",100,126.82,NA,NA,257.64,265.41,0.948449354906188,0.712267406408839,NA
"TD","15",100,180.76,NA,NA,365.52,373.29,0.97779532065033,0.50666505681181,NA
"TD","16",100,119.26,NA,NA,242.52,250.29,0.901508134629694,9.88925911812112,NA
"TD","17",100,191.62,NA,NA,387.24,395.01,0.0387604212007773,0.30978524150157,NA
"TD","18",100,214.45,NA,NA,432.9,440.67,0.0132959329600065,0.636186850963324,NA
"TD","19",100,189.49,NA,NA,382.98,390.75,0,0.497056772001088,NA
"TD","20",100,99.12,NA,NA,202.24,210.01,1,1.74323725048453,NA
"TD","21",100,32.21,NA,NA,68.42,76.19,0.00167383253574371,1.30969946924597,NA
"TD","22",100,30.82,NA,NA,65.64,73.41,0,0.956116161542013,NA
"TD","23",100,37.03,NA,NA,78.06,85.83,0,1.02540575712919,NA
"TD","24",100,99.32,NA,NA,202.64,210.41,1e-05,10,NA
"TD","25",100,84.75,NA,NA,173.5,181.27,0,0.66542311757803,NA
"TD","26",100,227.63,NA,NA,459.26,467.03,0.981785323470831,0.632073450833559,NA
"TD","27",100,128.54,NA,NA,261.08,268.85,0.964292434131494,0.853790062246844,NA
"TD","28",100,172.19,NA,NA,348.38,356.15,0,0.112155628310913,NA
"TD","29",100,120.41,NA,NA,244.82,252.59,0.00578020513057709,1.07312659174204,NA
"TD","31",100,57.78,NA,NA,119.56,127.33,0.00836885720491409,9.80944098827968,NA
"TD","32",100,104.39,NA,NA,212.78,220.55,0,0.505979910492897,NA
"TD","34",100,21.54,NA,NA,47.08,54.85,0,7.50346780195832,NA
"TD","35",100,140.13,NA,NA,284.26,292.03,0.95407930883448,0.969321536402615,NA
"TD","36",100,217.44,NA,NA,438.88,446.65,0.900669297203422,0.932739166783333,NA
"TD","37",100,85.04,NA,NA,174.08,181.85,0,1.12280039582402,NA
"TD","38",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","39",100,217.24,NA,NA,438.48,446.25,0,0.369868413312361,NA
"TD","40",100,128.19,NA,NA,260.38,268.15,0.00870663672685623,0.746761902584694,NA
"TD","41",100,143.01,NA,NA,290.02,297.79,0.964204660150926,0.747226221007051,NA
"TD","42",100,29.4,NA,NA,62.8,70.57,0,3.08885553013533,NA
"TD","43",100,34.55,NA,NA,73.1,80.87,0,0.756815768778324,NA
"TD","44",100,51.93,NA,NA,107.86,115.63,0.000324233435094357,1.06392073258758,NA
"TD","45",100,62.4,NA,NA,128.8,136.57,1e-05,10,NA
"TD","46",100,123.99,NA,NA,251.98,259.75,0.00416245446134179,0.960137131012743,NA
"TD","47",100,214.44,NA,NA,432.88,440.65,0.977087288629264,0.936956242694916,NA
"TD","48",100,179.84,NA,NA,363.68,371.45,0.0118485158891417,0.531908305369481,NA
"TD","49",100,70.75,NA,NA,145.5,153.27,0,0.693316221237183,NA
"TD","50",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","51",100,123.08,NA,NA,250.16,257.93,0,0.789058013361111,NA
"TD","52",100,226.59,NA,NA,457.18,464.95,0.768975449260324,0.0185683204402924,NA
"TD","53",100,113.37,NA,NA,230.74,238.51,0,0.469402486458421,NA
"TD","54",100,205.08,NA,NA,414.16,421.93,0.00923543966685732,0.527822967618704,NA
"TD","55",100,48.55,NA,NA,101.1,108.87,1e-05,10,NA
"TD","56",100,72.31,NA,NA,148.62,156.39,0.0070053203671705,7.51415871006611,NA
"TD","57",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","58",100,84.2,NA,NA,172.4,180.17,0,0.735901951293272,NA
"TD","59",100,62.96,NA,NA,129.92,137.69,0.000835242739412934,0.866111388429999,NA
"TD","60",100,98.05,NA,NA,200.1,207.87,0.0253893621265888,1.36787140183151,NA
"TD","61",100,120.87,NA,NA,245.74,253.51,0,0.571594171691686,NA
"TD","62",100,204.69,NA,NA,413.38,421.15,0.0416495306999423,0.484607417376876,NA
"TD","63",100,48.54,NA,NA,101.08,108.85,0,2.03688070550561,NA
"TD","64",100,37.59,NA,NA,79.18,86.95,0.00321351736783981,1.2722037278545,NA
"TD","65",100,174.2,NA,NA,352.4,360.17,0.963764729465765,0.79192691296339,NA
"TD","67",100,115.98,NA,NA,235.96,243.73,0.013143709016731,0.726194753792465,NA
"TD","68",100,207.26,NA,NA,418.52,426.29,0.919552749161085,0.591914311051369,NA
"TD","69",100,240.13,NA,NA,484.26,492.03,1e-05,0.00430529580144199,NA
"TD","70",100,77.82,NA,NA,159.64,167.41,0,0.759350001811981,NA
"TD","71",100,230.5,NA,NA,465,472.77,0.015561859094305,0.0664742312004566,NA
"TD","72",100,242.21,NA,NA,488.42,496.19,1e-05,6.99728826496768e-05,NA
"TD","73",100,80.25,NA,NA,164.5,172.27,0.00335520884254947,1.42398595064878,NA
"TD","74",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","75",100,63.22,NA,NA,130.44,138.21,0,0.717289838939905,NA
"TD","76",100,238.32,NA,NA,480.64,488.41,0.918644618359394,0.0415807485343218,NA
"TD","77",100,163.16,NA,NA,330.32,338.09,0.933073188236449,0.841966056745827,NA
"TD","78",100,47.85,NA,NA,99.7,107.47,0.00541494124627206,1.27918013974977,NA
"TD","79",100,98.89,NA,NA,201.78,209.55,0,0.869794215083286,NA
"TD","80",100,96.72,NA,NA,197.44,205.21,0.00898380018770695,0.882308664198717,NA
"TD","81",100,103.93,NA,NA,211.86,219.63,0.00478541478514671,5.29877719947035,NA
"TD","82",100,88.59,NA,NA,181.18,188.95,1.3500452041626e-05,1.32558519672602,NA
"TD","83",100,155.39,NA,NA,314.78,322.55,0.994276256587909,0.867596751319408,NA
"TD","84",100,80.58,NA,NA,165.16,172.93,0,1.34295308217406,NA
"TD","85",100,186.64,NA,NA,377.28,385.05,0.987465148147749,0.499238852651954,NA
"TD","86",100,30.09,NA,NA,64.18,71.95,0,9.50143743422814,NA
"TD","87",100,176.69,NA,NA,357.38,365.15,0.0123281953856349,0.639505058526993,NA
"TD","88",100,221.75,NA,NA,447.5,455.27,0.160456544376168,0.03269607315905,NA
"TD","89",100,86.73,NA,NA,177.46,185.23,0,0.590132176876068,NA
"TD","90",100,205.74,NA,NA,415.48,423.25,0.0167399448982906,0.0842245670577288,NA
"TD","91",100,129.34,NA,NA,262.68,270.45,0,0.454494923353195,NA
"TD","92",100,191.79,NA,NA,387.58,395.35,0.936008691678353,0.755022208394388,NA
"TD","93",100,135.19,NA,NA,274.38,282.15,0,0.515126086771488,NA
"TD","94",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","95",100,153,NA,NA,310,317.77,0,1.30348482477712,NA
"TD","96",100,168.1,NA,NA,340.2,347.97,0.00149978786248539,0.458552023636341,NA
"TD","97",100,66.69,NA,NA,137.38,145.15,0.00779949550997117,1.27457611853367,NA
"TD","98",100,163.21,NA,NA,330.42,338.19,0.013008737238124,0.560204658657312,NA
"TD","99",100,94.36,NA,NA,192.72,200.49,0.0132472760471865,9.98092933220323,NA
