"fit_model","Subject","ACC","LogL","LogPr","LogPo","AIC","BIC","param_1","param_2","param_3"
"TD","1",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","2",100,160.54,NA,NA,325.08,332.85,0,0.296545744488009,NA
"TD","3",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","4",100,67.01,NA,NA,138.02,145.79,1e-05,10,NA
"TD","5",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","6",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","7",100,240.29,NA,NA,484.58,492.35,0.00220043809748369,0.00114619418838286,NA
"TD","8",100,177.77,NA,NA,359.54,367.31,1e-05,10,NA
"TD","9",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","10",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","11",100,242.38,NA,NA,488.76,496.53,1e-05,9.99999999614571e-06,NA
"TD","12",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","13",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","14",100,90.09,NA,NA,184.18,191.95,1e-05,10,NA
"TD","15",100,242.38,NA,NA,488.76,496.53,1e-05,9.99999997322667e-06,NA
"TD","16",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","17",100,242.33,NA,NA,488.66,496.43,1e-05,9.99999990312297e-06,NA
"TD","18",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","19",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","20",100,30.09,NA,NA,64.18,71.95,1e-05,10,NA
"TD","21",100,34.02,NA,NA,72.04,79.81,1e-05,10,NA
"TD","22",100,34.02,NA,NA,72.04,79.81,1e-05,10,NA
"TD","23",100,242.38,NA,NA,488.76,496.53,1e-05,1e-05,NA
"TD","24",100,99.32,NA,NA,202.64,210.41,1e-05,10,NA
"TD","25",100,103.25,NA,NA,210.5,218.27,1e-05,10,NA
"TD","26",100,242.4,NA,NA,488.8,496.57,1,0,NA
"TD","27",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","28",100,205.46,NA,NA,414.92,422.69,1e-05,10,NA
"TD","29",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","31",100,242.37,NA,NA,488.74,496.51,9.99999999585235e-06,9.99999999585235e-06,NA
"TD","32",100,242.38,NA,NA,488.76,496.53,1e-05,1e-05,NA
"TD","34",100,242.4,NA,NA,488.8,496.57,0,0,NA
"TD","35",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","36",100,242.4,NA,NA,488.8,496.57,1e-05,0,NA
"TD","37",100,94.02,NA,NA,192.04,199.81,1e-05,10,NA
