"fit_model","Subject","ACC","LogL","LogPr","LogPo","AIC","BIC","param_1","param_2","param_3"
"TD","1",100,242.4,NA,NA,488.8,496.57,0.0561624781570309,0,NA
"TD","2",100,160.54,NA,NA,325.08,332.85,0,0.294434548023993,NA
"TD","3",100,106.08,NA,NA,216.16,223.93,0,0.629652168028165,NA
"TD","4",100,61.37,NA,NA,126.74,134.51,0,0.911737557156318,NA
"TD","5",100,140.51,NA,NA,285.02,292.79,0,1.31528623593833,NA
"TD","6",100,122.33,NA,NA,248.66,256.43,0,0.670895058078853,NA
"TD","7",100,154.82,NA,NA,313.64,321.41,0.897946854530042,10,NA
"TD","8",100,75.66,NA,NA,155.32,163.09,0.0126458727136454,1.10328435987637,NA
"TD","9",100,145.31,NA,NA,294.62,302.39,0,0.413736470142772,NA
"TD","10",100,44.38,NA,NA,92.76,100.53,0,1.37944720340138,NA
"TD","11",100,97.91,NA,NA,199.82,207.59,0,0.637837111479928,NA
"TD","12",100,206.69,NA,NA,417.38,425.15,0,0.127205818122325,NA
"TD","13",100,59.93,NA,NA,123.86,131.63,0,0.871629961070605,NA
"TD","14",100,69.4,NA,NA,142.8,150.57,0,0.698182128194431,NA
"TD","15",100,114.64,NA,NA,233.28,241.05,0,0.562152373591223,NA
"TD","16",100,119.19,NA,NA,242.38,250.15,0.900397112730225,9.97544950454665,NA
"TD","17",100,191.38,NA,NA,386.76,394.53,0.0389062795468281,0.355601089213806,NA
"TD","18",100,201.33,NA,NA,406.66,414.43,0,0.300974389211044,NA
"TD","19",100,185.86,NA,NA,375.72,383.49,0,0.382786117556327,NA
"TD","20",100,30.09,NA,NA,64.18,71.95,0,4.42885044892261,NA
"TD","21",100,31.75,NA,NA,67.5,75.27,0,1.05626139512513,NA
"TD","22",100,30.78,NA,NA,65.56,73.33,0,0.993218215239009,NA
"TD","23",100,37.02,NA,NA,78.04,85.81,0,1.03021870405221,NA
"TD","24",100,99.31,NA,NA,202.62,210.39,0,1.73815753185681,NA
"TD","25",100,84.51,NA,NA,173.02,180.79,0,0.722359077369744,NA
"TD","26",100,225.63,NA,NA,455.26,463.03,0.990373127880287,0.514440206442553,NA
"TD","27",100,128.5,NA,NA,261,268.77,0.967213818663485,0.883682966234256,NA
"TD","28",100,130.54,NA,NA,265.08,272.85,0,0.457015676273003,NA
"TD","29",100,119.34,NA,NA,242.68,250.45,0.00387579286724204,0.851750253082692,NA
"TD","31",100,50.73,NA,NA,105.46,113.23,0,0.866015942965078,NA
"TD","32",100,104.2,NA,NA,212.4,220.17,0,0.535852093349254,NA
"TD","34",100,21.54,NA,NA,47.08,54.85,0,5.02089400870428,NA
"TD","35",100,103.2,NA,NA,210.4,218.17,0,0.707648167503109,NA
"TD","36",100,216.85,NA,NA,437.7,445.47,0.916128956527357,0.83644211641464,NA
"TD","37",100,78.94,NA,NA,161.88,169.65,0,0.748185811096478,NA
"TD","38",100,242.4,NA,NA,488.8,496.57,0.505558777361322,0,NA
"TD","39",100,217.23,NA,NA,438.46,446.23,0,0.361755680167024,NA
"TD","40",100,124.85,NA,NA,253.7,261.47,0.00644458669447127,0.560132324395997,NA
"TD","41",100,78.57,NA,NA,161.14,168.91,0,0.698182128194431,NA
"TD","42",100,27.15,NA,NA,58.3,66.07,0,1.05695647223256,NA
"TD","43",100,32.13,NA,NA,68.26,76.03,0,0.992214396603444,NA
"TD","44",100,51.71,NA,NA,107.42,115.19,0,1.10452353834216,NA
"TD","45",100,53.96,NA,NA,111.92,119.69,0,0.851191815870249,NA
"TD","46",100,122.82,NA,NA,249.64,257.41,0.00333642821843229,0.782526036002879,NA
"TD","47",100,223.93,NA,NA,451.86,459.63,0.931759120152774,5.5330982224281,NA
"TD","48",100,157.7,NA,NA,319.4,327.17,0,0.419189101463374,NA
"TD","49",100,70.44,NA,NA,144.88,152.65,0,0.747005632781064,NA
"TD","50",100,242.4,NA,NA,488.8,496.57,0.0561624781570309,0,NA
"TD","51",100,122.51,NA,NA,249.02,256.79,0,0.709942033366166,NA
"TD","52",100,224.79,NA,NA,453.58,461.35,0.986602220223894,0.479818884533971,NA
"TD","53",100,112.14,NA,NA,228.28,236.05,0,0.548124679368397,NA
"TD","54",100,186.23,NA,NA,376.46,384.23,0,0.468323301726358,NA
"TD","55",100,46.26,NA,NA,96.52,104.29,0,1.04359537416644,NA
"TD","56",100,63.81,NA,NA,131.62,139.39,0,0.8326870312188,NA
"TD","57",100,242.4,NA,NA,488.8,496.57,0.0561624781570309,0,NA
"TD","58",100,84.19,NA,NA,172.38,180.15,0,0.744082791376621,NA
"TD","59",100,61.58,NA,NA,127.16,134.93,0,0.818908454457905,NA
"TD","60",100,97.94,NA,NA,199.88,207.65,0.0263878907682263,1.26056297583147,NA
"TD","61",100,120.84,NA,NA,245.68,253.45,0,0.58428279307036,NA
"TD","62",100,201.83,NA,NA,407.66,415.43,0.0279261458020519,0.382075217290757,NA
"TD","63",100,48.55,NA,NA,101.1,108.87,0,5.02089400870428,NA
"TD","64",100,34.27,NA,NA,72.54,80.31,0,0.958638479886759,NA
"TD","65",100,113.16,NA,NA,230.32,238.09,0,0.671643119803333,NA
"TD","67",100,114.58,NA,NA,233.16,240.93,0.00874377797314698,0.62193770219981,NA
"TD","68",100,242.4,NA,NA,488.8,496.57,0.599005385990783,0,NA
"TD","69",100,240.13,NA,NA,484.26,492.03,0.000103733646850921,0.00429787924978143,NA
"TD","70",100,77.74,NA,NA,159.48,167.25,0,0.726096343674586,NA
"TD","71",100,242.38,NA,NA,488.76,496.53,1e-05,1e-05,NA
"TD","72",100,242.21,NA,NA,488.42,496.19,1.34328649000817e-05,6.31650281299302e-05,NA
"TD","73",100,77.41,NA,NA,158.82,166.59,0,0.983873823784413,NA
"TD","74",100,242.4,NA,NA,488.8,496.57,0.0561624781570309,0,NA
"TD","75",100,62.97,NA,NA,129.94,137.71,0,0.766147335025902,NA
"TD","76",100,209.13,NA,NA,422.26,430.03,0,0.374297415118789,NA
"TD","77",100,162.31,NA,NA,328.62,336.39,0.926619500295162,0.734648274883719,NA
"TD","78",100,47.1,NA,NA,98.2,105.97,0.00675529851330903,1.43303438981219,NA
"TD","79",100,97.79,NA,NA,199.58,207.35,0,0.747005632781064,NA
"TD","80",100,95.33,NA,NA,194.66,202.43,0.00558718306865634,0.720192201136894,NA
"TD","81",100,102.4,NA,NA,208.8,216.57,0,1.08955242772867,NA
"TD","82",100,87.69,NA,NA,179.38,187.15,0,1.0314726434083,NA
"TD","83",100,167.33,NA,NA,338.66,346.43,0.910370464176127,5.92614715292262,NA
"TD","84",100,80.58,NA,NA,165.16,172.93,0,1.33962044565938,NA
"TD","85",100,186.34,NA,NA,376.68,384.45,1,0.475395144218005,NA
"TD","86",100,29.85,NA,NA,63.7,71.47,0,1.37944720340138,NA
