simulate_model,fit_model,iteration,ACC,LogL,LogPr,LogPo,AIC,BIC,input_param_1,input_param_2,input_param_3,output_param_1,output_param_2,output_param_3
TD,TD,1,100,-108.85,NA,NA,221.7,229.47,0.643091264,0.833578742,NA,0.761060258,0.665367365,NA
TD,TD,2,100,-82.22,NA,NA,168.44,176.21,0.724670133,1.435616042,NA,0.82781662,1.305732566,NA
TD,TD,3,100,-84.99,NA,NA,173.98,181.75,0.950232451,2.037790157,NA,0.883917291,2.605803728,NA
TD,TD,4,100,-202.61,NA,NA,409.22,416.99,0.682289759,0.072022455,NA,0.805766197,0.059829224,NA
TD,TD,5,100,-119.1,NA,NA,242.2,249.97,0.200363578,1.005684399,NA,0.239749837,0.763612682,NA
TD,TD,6,100,-187.86,NA,NA,379.72,387.49,0.321220334,0.298665664,NA,0.41204938,0.176494339,NA
TD,TD,7,100,-216.13,NA,NA,436.26,444.03,0.571441248,0.050213295,NA,0.125315689,0.038238195,NA
TD,TD,8,100,-194.93,NA,NA,393.86,401.63,0.973066304,0.392999499,NA,0.858750406,0.378094992,NA
TD,TD,9,100,-242.34,NA,NA,488.68,496.45,0.895209939,0.00547374,NA,0.657297741,1.39E-05,NA
TD,TD,10,100,-220.94,NA,NA,445.88,453.65,0.049414618,0.507862411,NA,0.128678937,0.077861439,NA
TD,TD,11,100,-212.89,NA,NA,429.78,437.55,0.197620301,0.189836999,NA,0.408815051,0.07191529,NA
TD,TD,12,100,-221.54,NA,NA,447.08,454.85,0.056064042,0.56602673,NA,0.13275539,0.079208415,NA
TD,TD,13,100,-149.44,NA,NA,302.88,310.65,0.051307132,1.232473707,NA,0.170646303,0.716166286,NA
TD,TD,14,100,-190.43,NA,NA,384.86,392.63,0.989872475,0.208000437,NA,0.677611839,0.117613051,NA
TD,TD,15,100,-174.24,NA,NA,352.48,360.25,0.711294804,0.576327974,NA,0.771507491,0.455569022,NA
TD,TD,16,100,-242.4,NA,NA,488.8,496.57,0.076893083,0.009669867,NA,0.002472964,3.53E-08,NA
TD,TD,17,100,-77.84,NA,NA,159.68,167.45,0.797194604,2.505488173,NA,0.837979776,1.606577856,NA
TD,TD,18,100,-86.18,NA,NA,176.36,184.13,0.731893435,1.274954205,NA,0.813782364,1.15976514,NA
TD,TD,19,100,-114.87,NA,NA,233.74,241.51,0.809085062,0.797056699,NA,0.784138137,0.668068582,NA
TD,TD,20,100,-102.08,NA,NA,208.16,215.93,0.511981163,2.391249828,NA,0.336023754,1.023867277,NA
TD,TD,21,100,-105.7,NA,NA,215.4,223.17,0.226354157,1.668979891,NA,0.262224068,0.947023485,NA
