"simulate_model","fit_model","iteration","ACC","LogL","LogPr","LogPo","AIC","BIC","input_param_1","input_param_2","output_param_1","output_param_2","output_param_3","input_param_3"
"TD","TD",1,92.78,-101.71,NA,NA,207.42,215.19,0.643091264180839,0.83357874206723,0.616083095801701,7.82140794424905,NA,NA
"TD","TD",2,94.44,-73.49,NA,NA,150.98,158.75,0.724670132622123,1.43561604238095,0.686193339023381,1.37343902094045,NA,NA
"TD","TD",3,90.28,-79.21,NA,NA,162.42,170.19,0.950232450617477,2.03779015681686,0.90572999413456,0.866984964912194,NA,NA
"TD","TD",4,57.5,-213.14,NA,NA,430.28,438.05,0.682289758697152,0.0720224548131227,0.0163020832338761,0.057951803377796,NA,NA
"TD","TD",5,86.11,-149.36,NA,NA,302.72,310.49,0.200363578274846,1.00568439900399,0.176220973087446,1.92529119522512,NA,NA
"TD","TD",6,62.78,-198.43,NA,NA,400.86,408.63,0.321220333920792,0.298665664158762,0.285963353588103,0.13637506820882,NA,NA
"TD","TD",7,56.11,-222.67,NA,NA,449.34,457.11,0.571441247593611,0.0502132950350642,0.016334402779965,0.0411255511405968,NA,NA
"TD","TD",8,79.72,-154.02,NA,NA,312.04,319.81,0.973066303646192,0.392999498639256,0.811720510242716,0.518204092156467,NA,NA
"TD","TD",9,50.83,-249.53,NA,NA,503.06,510.83,0.895209939451888,0.0054737395918251,1.20156575226295e-07,1.87343827282503e-08,NA,NA
"TD","TD",10,70.28,-181.6,NA,NA,367.2,374.97,0.0494146177079529,0.507862410508096,0.0231541929705945,0.596769887069787,NA,NA
"TD","TD",11,60,-209.21,NA,NA,422.42,430.19,0.197620301274583,0.18983699940145,0.0934912754599326,0.10888870045927,NA,NA
"TD","TD",12,67.5,-175.89,NA,NA,355.78,363.55,0.0560640415642411,0.566026730462909,0.0602345983830024,0.489493613976827,NA,NA
"TD","TD",13,84.72,-123.44,NA,NA,250.88,258.65,0.051307131536305,1.23247370731968,0.0411752328133113,2.09567190725906,NA,NA
"TD","TD",14,62.22,-196.76,NA,NA,397.52,405.29,0.989872474921867,0.208000437050192,0.420483789782938,0.118952743002761,NA,NA
"TD","TD",15,83.89,-135.91,NA,NA,275.82,283.59,0.711294803768396,0.57632797351107,0.681597745251775,0.691552795350429,NA,NA
"TD","TD",16,50.56,-249.53,NA,NA,503.06,510.83,0.0768930825870484,0.00966986734420061,1.20156575226295e-07,1.87343827282503e-08,NA,NA
"TD","TD",17,94.17,-74.9,NA,NA,153.8,161.57,0.797194604296237,2.5054881726885,0.752932224187158,1.37874606363443,NA,NA
"TD","TD",18,91.11,-80.25,NA,NA,164.5,172.27,0.731893435353413,1.27495420533688,0.766477389036527,0.876800660681699,NA,NA
"TD","TD",19,93.06,-98.91,NA,NA,201.82,209.59,0.809085062006488,0.797056699129653,0.675987549974625,1.87247233359245,NA,NA
"TD","TD",20,90.56,-115.26,NA,NA,234.52,242.29,0.511981163173914,2.39124982816227,0.321581966397324,1.54968871147214,NA,NA
