"fit_model","Subject","ACC","LogL","LogPr","LogPo","AIC","BIC","param_1","param_2","param_3"
"TD","1",65,229.18,NA,NA,462.36,470.13,0.0195231295810356,0.257048185570109,NA
"TD","2",70.83,173.65,NA,NA,351.3,359.07,2.49627244904701e-08,0.292104403937701,NA
"TD","3",93.33,109.99,NA,NA,223.98,231.75,0.00339118389339611,9.03843009925057,NA
"TD","4",92.22,64.44,NA,NA,132.88,140.65,0.0110924136861471,3.5489729879481,NA
"TD","5",96.11,50.94,NA,NA,105.88,113.65,0.00647737141398033,9.60764593052248,NA
"TD","6",90,147.43,NA,NA,298.86,306.63,0.0011950329634962,5.63876126877807,NA
"TD","7",93.06,106.08,NA,NA,216.16,223.93,0.00473260130464788,8.85662206289194,NA
"TD","8",60,212.45,NA,NA,428.9,436.67,0.33075779483286,0.0624983191387039,NA
"TD","9",59.44,209.82,NA,NA,423.64,431.41,0.129328636078624,0.0473541830038016,NA
"TD","10",96.94,36.95,NA,NA,77.9,85.67,3.84871316254996e-08,1.32341973257458,NA
"TD","11",55.28,226.7,NA,NA,457.4,465.17,0.344949435486284,0.0473905897712209,NA
"TD","12",57.78,206.79,NA,NA,417.58,425.35,0.240769383905386,0.0472486437770299,NA
"TD","13",95.28,64.72,NA,NA,133.44,141.21,0.00328943366102736,5.53860959349606,NA
"TD","14",60.83,215.81,NA,NA,435.62,443.39,0.323899674824328,0.0606166729702412,NA
"TD","15",89.17,165.81,NA,NA,335.62,343.39,0.00048098857488317,5.00581856943046,NA
"TD","16",97.5,37.15,NA,NA,78.3,86.07,5.27120200664327e-08,9.99999262385829,NA
"TD","17",66.67,197.77,NA,NA,399.54,407.31,0.0282479412054273,0.190712280723664,NA
"TD","18",71.39,200.07,NA,NA,404.14,411.91,6.83751886816068e-09,0.29862365501457,NA
"TD","19",75.56,183.48,NA,NA,370.96,378.73,1.9993999732823e-09,0.369192207340159,NA
"TD","20",96.94,37.15,NA,NA,78.3,86.07,0.00348265506218348,8.16893084268712,NA
"TD","21",96.67,41.06,NA,NA,86.12,93.89,0.00510854279604387,6.1482919255309,NA
"TD","22",96.11,43.96,NA,NA,91.92,99.69,0.0109673923487326,8.48081526744493,NA
"TD","23",96.39,46.34,NA,NA,96.68,104.45,0.00288447482670489,8.3222596674606,NA
"TD","24",92.78,109.99,NA,NA,223.98,231.75,4.19395405780434e-08,8.14965815963444,NA
"TD","25",93.06,109.99,NA,NA,223.98,231.75,0.00437916330601765,8.23124387762975,NA
"TD","26",55.28,246.67,NA,NA,497.34,505.11,0.18559774103335,0.0340948300113615,NA
"TD","27",94.72,73.91,NA,NA,151.82,159.59,0.00304748197496902,8.51532086140318,NA
"TD","28",83.33,133.15,NA,NA,270.3,278.07,6.67350254788905e-09,0.460553274468816,NA
