"fit_model","Subject","ACC","LogL","LogPr","LogPo","AIC","BIC","param_1","param_2","param_3"
"TD","1",64.72,227.66,NA,NA,459.32,467.09,0.0359210163270522,0.258003883081049,NA
"TD","2",70.83,173.68,NA,NA,351.36,359.13,1.01276270120076e-05,0.287762567904024,NA
"TD","3",89.44,81.38,NA,NA,166.76,174.53,3.30597227945945e-07,0.642816660908224,NA
"TD","4",92.78,63.97,NA,NA,131.94,139.71,0.0106128638536928,3.07888054861235,NA
"TD","5",95.28,50.26,NA,NA,104.52,112.29,2.77661215602315e-06,1.20198863370784,NA
"TD","6",84.72,114.32,NA,NA,232.64,240.41,1.89681541341025e-06,0.608102762497303,NA
"TD","7",88.61,85.72,NA,NA,175.44,183.21,7.87764873920905e-07,0.691072212814116,NA
"TD","8",60.56,210.31,NA,NA,424.62,432.39,0.370080424065916,0.0517832018372091,NA
"TD","9",59.44,205.84,NA,NA,415.68,423.45,0.0502627730837941,0.0535878242257593,NA
"TD","10",96.94,36.95,NA,NA,77.9,85.67,1.66158814624488e-05,1.38252942724652,NA
"TD","11",55.56,225.48,NA,NA,454.96,462.73,0.43349444377251,0.0408388361950034,NA
"TD","12",57.5,206.69,NA,NA,417.38,425.15,0.272901914001295,0.0458493299749565,NA
"TD","13",92.5,56.53,NA,NA,117.06,124.83,2.85712148987059e-05,0.82674972546427,NA
"TD","14",59.44,214.99,NA,NA,433.98,441.75,0.221459135358518,0.0498740023868377,NA
"TD","15",86.94,121,NA,NA,246,253.77,1.98602017956804e-06,0.559257949162854,NA
"TD","16",96.67,35.93,NA,NA,75.86,83.63,0.000198085460513238,1.11673282320255,NA
"TD","17",73.06,166.27,NA,NA,336.54,344.31,0.0601662164837241,0.603273888118695,NA
"TD","18",71.39,200.08,NA,NA,404.16,411.93,3.40221892779793e-06,0.30048599747735,NA
"TD","19",75.28,183.51,NA,NA,371.02,378.79,1.86835993129488e-05,0.372339778051049,NA
"TD","20",96.39,36.61,NA,NA,77.22,84.99,0.000129510344655904,1.35269812672934,NA
"TD","21",96.39,38.91,NA,NA,81.82,89.59,6.38035371381131e-05,1.08523858144826,NA
"TD","22",96.11,43.44,NA,NA,90.88,98.65,0.0119949770724348,9.9963272630323,NA
"TD","23",95.83,43.22,NA,NA,90.44,98.21,5.89186562241773e-05,0.983617613567441,NA
"TD","24",92.22,109.82,NA,NA,223.64,231.41,0.00010807207377604,1.46283666355489,NA
"TD","25",90,91.78,NA,NA,187.56,195.33,4.55520090050787e-05,0.752681150557232,NA
"TD","26",55.56,234.49,NA,NA,472.98,480.75,0.990410372455082,0.0211730758616318,NA
"TD","27",92.22,65.7,NA,NA,135.4,143.17,3.65082323254736e-05,0.848709988508572,NA
"TD","28",83.33,133.15,NA,NA,270.3,278.07,4.49524071700726e-08,0.461589412765717,NA
"TD","29",88.06,122.53,NA,NA,249.06,256.83,0.00293782433126755,0.79709532457692,NA
"TD","31",93.89,57.93,NA,NA,119.86,127.63,1.02743292019061e-05,0.909278049743416,NA
"TD","32",86.39,113.36,NA,NA,230.72,238.49,1.06649515299013e-06,0.527224297801529,NA
"TD","34",98.33,27.28,NA,NA,58.56,66.33,0.000844229719824579,5.68546740096394,NA
"TD","35",91.11,78.4,NA,NA,160.8,168.57,1.38799345403478e-05,0.71403093147011,NA
"TD","36",88.89,92.18,NA,NA,188.36,196.13,2.06640749808432e-06,0.711091534411934,NA
"TD","37",91.11,88.83,NA,NA,181.66,189.43,4.06924498446339e-06,0.727925610596372,NA
"TD","38",91.11,142.16,NA,NA,288.32,296.09,0.141396774124619,8.59161104941503,NA
"TD","39",67.22,214.35,NA,NA,432.7,440.47,3.59319753159198e-06,0.357275060670053,NA
"TD","40",78.89,123.97,NA,NA,251.94,259.71,0.00778330848242715,0.567881580861963,NA
"TD","41",61.39,216.14,NA,NA,436.28,444.05,0.219111799650553,0.0436167851865059,NA
"TD","42",97.78,36.47,NA,NA,76.94,84.71,0.0021833872247607,5.45693421388099,NA
"TD","43",95.28,39.31,NA,NA,82.62,90.39,5.69745113868913e-05,0.984413369294693,NA
"TD","44",61.67,208.57,NA,NA,421.14,428.91,0.425520433409403,0.0601166883751459,NA
"TD","45",91.39,65.64,NA,NA,135.28,143.05,2.139892344946e-06,0.857975353287958,NA
"TD","46",59.72,204.29,NA,NA,412.58,420.35,0.239349829977568,0.0783327399405509,NA
"TD","47",85.28,161.11,NA,NA,326.22,333.99,2.82795513730549e-06,0.707209300499092,NA
"TD","48",54.17,219.11,NA,NA,442.22,449.99,0.610668325072313,0.0389337985126023,NA
"TD","49",91.94,82.13,NA,NA,168.26,176.03,4.96059455532061e-06,0.74348803601578,NA
"TD","50",63.33,178.89,NA,NA,361.78,369.55,0.0614406922665421,0.265111166772992,NA
"TD","51",87.78,113.62,NA,NA,231.24,239.01,1.96367713154133e-06,0.639593005291965,NA
"TD","52",55.28,238.2,NA,NA,480.4,488.17,0.551200573222792,0.0241118696627244,NA
"TD","53",84.17,112.33,NA,NA,228.66,236.43,6.37113362919961e-06,0.538075327492057,NA
"TD","54",81.94,168.12,NA,NA,340.24,348.01,1.59552163026303e-06,0.465861104752127,NA
"TD","55",95.83,53.49,NA,NA,110.98,118.75,6.66319592984143e-06,0.968928413730515,NA
"TD","56",91.39,73.3,NA,NA,150.6,158.37,1.30729312743105e-07,0.812789874716726,NA
"TD","57",98.06,18.72,NA,NA,41.44,49.21,0.00328684326623098,2.27708361683024,NA
"TD","58",90.28,86.12,NA,NA,176.24,184.01,4.82823406994874e-05,0.749279945172052,NA
"TD","59",90.83,71.75,NA,NA,147.5,155.27,2.15639172827744e-05,0.778573769706694,NA
"TD","60",85,104.25,NA,NA,212.5,220.27,0.0332059436381902,2.6794270893883,NA
"TD","61",83.33,121.14,NA,NA,246.28,254.05,1.05082879487404e-06,0.575554054376474,NA
"TD","62",64.44,201.55,NA,NA,407.1,414.87,0.0386840699698956,0.414886863727658,NA
"TD","63",98.06,23.36,NA,NA,50.72,58.49,0.00163744338093982,8.5045266218076,NA
"TD","64",95.56,41.42,NA,NA,86.84,94.61,1.12740693692042e-05,0.941999179084948,NA
"TD","65",85.83,107.37,NA,NA,218.74,226.51,2.71028074735976e-06,0.624907629006268,NA
"TD","67",79.44,119.4,NA,NA,242.8,250.57,0.017010427090843,0.681972890083676,NA
"TD","68",55,225.16,NA,NA,454.32,462.09,0.32158310967534,0.040208555955805,NA
"TD","69",50.56,249.54,NA,NA,503.08,510.85,0.975270707276219,3.58447706040398e-07,NA
"TD","70",89.72,83.78,NA,NA,171.56,179.33,5.27967756789768e-05,0.683355001394845,NA
"TD","71",56.94,222.83,NA,NA,449.66,457.43,7.94783108729205e-06,0.0334275866550925,NA
"TD","72",48.06,248.18,NA,NA,500.36,508.13,0.000611712011550735,0.00379063872909809,NA
"TD","73",95.83,47.97,NA,NA,99.94,107.71,0.000337464608134732,1.01868575797114,NA
