"simulate_model","fit_model","iteration","ACC","LogL","LogPr","LogPo","AIC","BIC","input_param_1","input_param_2","output_param_1","output_param_2","output_param_3","input_param_3"
"TD","TD",1,92.5,-81.65,NA,NA,167.3,175.07,0.643091264180839,1.83357874206723,0.757637936658175,1,NA,NA
"TD","TD",2,93.06,-74.62,NA,NA,153.24,161.01,0.724670132622123,2.43561604238095,0.752433238909552,1,NA,NA
"TD","TD",3,83.06,-146.57,NA,NA,297.14,304.91,0.950232450617477,3.03779015681686,0.01,1.01,NA,NA
"TD","TD",4,91.94,-88.81,NA,NA,181.62,189.39,0.682289758697152,1.07202245481312,0.756219039645144,1,NA,NA
"TD","TD",5,87.5,-140.15,NA,NA,284.3,292.07,0.200363578274846,2.00568439900399,0.248782486236763,1.69229490345333,NA,NA
"TD","TD",6,86.39,-149.95,NA,NA,303.9,311.67,0.321220333920792,1.29866566415876,0.220506757526976,1.8823568448945,NA,NA
"TD","TD",7,90.56,-102.06,NA,NA,208.12,215.89,0.571441247593611,1.05021329503506,0.683684635411069,1,NA,NA
"TD","TD",8,93.61,-81.28,NA,NA,166.56,174.33,0.973066303646192,1.39299949863926,0.889465978970534,3.57001836915554,NA,NA
"TD","TD",9,90,-105.42,NA,NA,214.84,222.61,0.895209939451888,1.00547373959183,0.88962493830209,1,NA,NA
"TD","TD",10,84.44,-122.47,NA,NA,248.94,256.71,0.0494146177079529,1.5078624105081,0.0593988830184966,1.95375342235292,NA,NA
"TD","TD",11,86.67,-125.52,NA,NA,255.04,262.81,0.197620301274583,1.18983699940145,0.161383355262031,1.4699272294245,NA,NA
"TD","TD",12,85.28,-147.61,NA,NA,299.22,306.99,0.0560640415642411,1.56602673046291,0.148951561968109,1.96073592998908,NA,NA
"TD","TD",13,75.28,-176.61,NA,NA,357.22,364.99,0.051307131536305,2.23247370731968,0.0187490410485269,1.01733729633861,NA,NA
"TD","TD",14,93.33,-85.02,NA,NA,174.04,181.81,0.989872474921867,1.20800043705019,0.890819797301445,4.58978057785897,NA,NA
"TD","TD",15,93.61,-90.17,NA,NA,184.34,192.11,0.711294803768396,1.57632797351107,0.663918606780121,2.0958008206158,NA,NA
"TD","TD",16,85,-148.32,NA,NA,300.64,308.41,0.0768930825870484,1.0096698673442,0.11037977714814,2.11319988711904,NA,NA
"TD","TD",17,93.33,-75.1,NA,NA,154.2,161.97,0.797194604296237,3.5054881726885,0.792737026620164,1,NA,NA
"TD","TD",18,91.11,-89.38,NA,NA,182.76,190.53,0.731893435353413,2.27495420533688,0.610706828533144,1.00931072124014,NA,NA
"TD","TD",19,94.44,-78.35,NA,NA,160.7,168.47,0.809085062006488,1.79705669912965,0.832030875674022,4.66932828968232,NA,NA
"TD","TD",20,87.22,-95.77,NA,NA,195.54,203.31,0.511981163173914,3.39124982816227,0.0842100926022516,1.8294688680141,NA,NA
"TD","TD",21,92.22,-95.38,NA,NA,194.76,202.53,0.226354157319292,2.66897989056053,0.212351546257058,2.70069699422877,NA,NA
"TD","TD",22,89.44,-108.79,NA,NA,221.58,229.35,0.300222688354552,1.95544207743825,0.181454732037765,1.65694367722515,NA,NA
"TD","TD",23,93.89,-75.47,NA,NA,154.94,162.71,0.984172471100464,2.69604673600736,0.889954220751455,5.953331203581,NA,NA
"TD","TD",24,90,-106.82,NA,NA,217.64,225.41,0.540354023920372,1.23410649768987,0.679034483140067,1,NA,NA
