"simulate_model","fit_model","iteration","ACC","LogL","LogPr","LogPo","AIC","BIC","input_param_1","input_param_2","output_param_1","output_param_2","output_param_3","input_param_3"
"TD","TD",1,100,-102.16,NA,NA,208.32,216.09,0.643091264180839,1.83357874206723,0.71121520451872,7.56221875310409,NA,NA
"TD","TD",2,100,-90.83,NA,NA,185.66,193.43,0.724670132622123,2.43561604238095,0.868276053938805,4.95116082985766,NA,NA
"TD","TD",3,100,-106.25,NA,NA,216.5,224.27,0.950232450617477,3.03779015681686,0.882869855308627,7.69317117460488,NA,NA
"TD","TD",4,100,-106.01,NA,NA,216.02,223.79,0.682289758697152,1.07202245481312,0.782613402142677,1,NA,NA
"TD","TD",5,100,-111.27,NA,NA,226.54,234.31,0.200363578274846,2.00568439900399,0.150817640428347,1.05948779239542,NA,NA
"TD","TD",6,100,-123.78,NA,NA,251.56,259.33,0.321220333920792,1.29866566415876,0.149344999345381,1,NA,NA
"TD","TD",7,100,-121.76,NA,NA,247.52,255.29,0.571441247593611,1.05021329503506,0.61625608562507,1,NA,NA
"TD","TD",8,100,-109.17,NA,NA,222.34,230.11,0.973066303646192,1.39299949863926,0.885949193035653,4.1015346259566,NA,NA
"TD","TD",9,100,-124.48,NA,NA,252.96,260.73,0.895209939451888,1.00547373959183,0.856517919844268,1,NA,NA
"TD","TD",10,100,-132.95,NA,NA,269.9,277.67,0.0494146177079529,1.5078624105081,0.0435993272569478,1.73238090577086,NA,NA
"TD","TD",11,100,-125.75,NA,NA,255.5,263.27,0.197620301274583,1.18983699940145,0.13545328372517,1.00198155978871,NA,NA
"TD","TD",12,100,-120.55,NA,NA,245.1,252.87,0.0560640415642411,1.56602673046291,0.0527543195482834,2.08170683856921,NA,NA
"TD","TD",13,100,-121.16,NA,NA,246.32,254.09,0.051307131536305,2.23247370731968,0.0526051615937452,2.1865300526439,NA,NA
"TD","TD",14,100,-113.51,NA,NA,231.02,238.79,0.989872474921867,1.20800043705019,0.867851774419325,1.00004781394405,NA,NA
"TD","TD",15,100,-90.9,NA,NA,185.8,193.57,0.711294803768396,1.57632797351107,0.844018674875519,2.35613853775649,NA,NA
"TD","TD",16,100,-135.62,NA,NA,275.24,283.01,0.0768930825870484,1.0096698673442,0.0717902021574598,1.1013878066207,NA,NA
"TD","TD",17,100,-90.8,NA,NA,185.6,193.37,0.797194604296237,3.5054881726885,0.816974751196933,1.41451608787416,NA,NA
"TD","TD",18,100,-90.88,NA,NA,185.76,193.53,0.731893435353413,2.27495420533688,0.855342210242121,2.95053663466575,NA,NA
"TD","TD",19,100,-93.07,NA,NA,190.14,197.91,0.809085062006488,1.79705669912965,0.875593042244014,6.42776729800371,NA,NA
"TD","TD",20,100,-110.54,NA,NA,225.08,232.85,0.511981163173914,3.39124982816227,0.286502326072547,1.05258979039388,NA,NA
"TD","TD",21,100,-112.85,NA,NA,229.7,237.47,0.226354157319292,2.66897989056053,0.175350886251154,1.15024291042254,NA,NA
"TD","TD",22,100,-115.53,NA,NA,235.06,242.83,0.300222688354552,1.95544207743825,0.177585580801023,1.07800081057051,NA,NA
"TD","TD",23,100,-104.23,NA,NA,212.46,220.23,0.984172471100464,2.69604673600736,0.887023651712243,5.06078016421773,NA,NA
"TD","TD",24,100,-118.17,NA,NA,240.34,248.11,0.540354023920372,1.23410649768987,0.463313283380175,1,NA,NA
"TD","TD",25,100,-110.17,NA,NA,224.34,232.11,0.870058757020161,1.32718323590234,0.835048627203916,1,NA,NA
"TD","TD",26,100,-116.59,NA,NA,237.18,244.95,0.0660558908712119,2.97567781611326,0.0769849249747722,1.5081834443254,NA,NA
"TD","TD",27,100,-112.8,NA,NA,229.6,237.37,0.973287776112556,1.26051322789863,0.862078135619366,1.02978602566221,NA,NA
"TD","TD",28,100,-112.86,NA,NA,229.72,237.49,0.290595552418381,2.05573849655212,0.178777071262365,1.12065623579208,NA,NA
"TD","TD",29,100,-114.34,NA,NA,232.68,240.45,0.988910319516435,1.21139730885625,0.874852736811852,1.39800699047459,NA,NA
"TD","TD",30,100,-112.95,NA,NA,229.9,237.67,0.329378831898794,3.0851063261411,0.193412738217093,1.12487108617096,NA,NA
"TD","TD",31,100,-126.37,NA,NA,256.74,264.51,0.11878991080448,1.83541438817502,0.104015066826385,1.19571164942011,NA,NA
"TD","TD",32,100,-136.74,NA,NA,277.48,285.25,0.0508385861758143,1.41009616898373,0.0464200568788358,1.0459176221879,NA,NA
"TD","TD",33,100,-90.82,NA,NA,185.64,193.41,0.684979062527418,1.75662852577144,0.870688874966422,5.59335059609374,NA,NA
"TD","TD",34,100,-111.36,NA,NA,226.72,234.49,0.842564480379224,1.05992496339604,0.835318697400647,1,NA,NA
"TD","TD",35,100,-114.31,NA,NA,232.62,240.39,0.27115519088693,3.69503675574873,0.183132920235255,1.08266848111043,NA,NA
"TD","TD",36,100,-97.33,NA,NA,198.66,206.43,0.779200294986367,1.45758824376389,0.814327117211372,1.1420873950966,NA,NA
"TD","TD",37,100,-105.77,NA,NA,215.54,223.31,0.982565350597724,4.92570209977795,0.873270356367584,1.32997166477605,NA,NA
"TD","TD",38,100,-118.17,NA,NA,240.34,248.11,0.533772448310629,1.2251683762297,0.448375515218153,1,NA,NA
"TD","TD",39,100,-126.05,NA,NA,256.1,263.87,0.128862570039928,2.75030500992181,0.106061338867029,1.18395580479794,NA,NA
"TD","TD",40,100,-123.85,NA,NA,251.7,259.47,0.420502026332542,1.08286330314484,0.147255732380471,1,NA,NA
"TD","TD",41,100,-92.94,NA,NA,189.88,197.65,0.860091791022569,2.2001721150753,0.877703008452363,7.35743422990314,NA,NA
"TD","TD",42,100,-108.31,NA,NA,220.62,228.39,0.633000507717952,1.31639195521562,0.762341935801751,1,NA,NA
"TD","TD",43,100,-110.54,NA,NA,225.08,232.85,0.512010124279186,3.01376353887389,0.28820583239342,1.04543437263598,NA,NA
"TD","TD",44,100,-112.53,NA,NA,229.06,236.83,0.4054856733419,4.89528230370438,0.273956912000683,1.00510289462507,NA,NA
"TD","TD",45,100,-123.78,NA,NA,251.56,259.33,0.319981756620109,1.26415652967989,0.150356178006451,1,NA,NA
"TD","TD",46,100,-104.83,NA,NA,213.66,221.43,0.947748523205519,2.36391219958187,0.885528341331826,3.53897885914538,NA,NA
"TD","TD",47,100,-113.13,NA,NA,230.26,238.03,0.885661983396858,2.4762263855988,0.848628195144479,1.02203371930446,NA,NA
"TD","TD",48,100,-133.92,NA,NA,271.84,279.61,0.119032545015216,1.2109820744954,0.114118255915669,1,NA,NA
"TD","TD",49,100,-104.97,NA,NA,213.94,221.71,0.931592519162223,1.64870583964512,0.878955939114657,2.28977197606833,NA,NA
"TD","TD",50,100,-90.89,NA,NA,185.78,193.55,0.753800751408562,3.89878896835935,0.84579551860032,2.34332854664816,NA,NA
"TD","TD",51,100,-125.89,NA,NA,255.78,263.55,0.080542077543214,1.38312963815406,0.0764348784838476,1.33208150079815,NA,NA
"TD","TD",52,100,-137.31,NA,NA,278.62,286.39,0.0462017410900444,1.57751976652071,0.0465292892136016,1.04572875472446,NA,NA
"TD","TD",53,100,-114.46,NA,NA,232.92,240.69,0.407168375095353,1.8810732345608,0.171878916130877,1,NA,NA
"TD","TD",54,100,-105.78,NA,NA,215.56,223.33,0.960197768406942,1.62981824576855,0.87418407143321,1.37649147732551,NA,NA
"TD","TD",55,100,-104.83,NA,NA,213.66,221.43,0.745619997614995,1.08382892229572,0.803096025742125,1,NA,NA
"TD","TD",56,100,-123.38,NA,NA,250.76,258.53,0.387793875532225,1.18421270139515,0.147005369899285,1,NA,NA
"TD","TD",57,100,-239.87,NA,NA,483.74,491.51,0.640330957481638,1.32346468325704,0.01,1.01,NA,NA
"TD","TD",58,100,-116.43,NA,NA,236.86,244.63,0.46626549679786,1.18377712974325,0.318543187509511,1,NA,NA
"TD","TD",59,100,-90.8,NA,NA,185.6,193.37,0.781977394130081,2.17335850927503,0.813690910262077,1.43017839676445,NA,NA
"TD","TD",60,100,-128.64,NA,NA,261.28,269.05,0.185236022341996,1.16209726792475,0.130507369371831,1,NA,NA
"TD","TD",61,100,-98.8,NA,NA,201.6,209.37,0.703108243644238,1.190494351089,0.788741928359054,1.09620319347941,NA,NA
"TD","TD",62,100,-105.31,NA,NA,214.62,222.39,0.540940156206489,2.71158919288757,0.323180178096812,1.02747391175256,NA,NA
"TD","TD",63,100,-114.31,NA,NA,232.62,240.39,0.265401779906824,2.94766673623564,0.181410068226953,1.10428907430004,NA,NA
"TD","TD",64,100,-143.52,NA,NA,291.04,298.81,0.897607917198911,1.20987035287544,0.822722898571449,9.78600387873109,NA,NA
