"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"TD","1",53.06,220.68,445.36,453.13,1.12302166262605e-07,0.0305252219096051,NA
"TD","2",71.67,199.39,402.78,410.55,6.36789777757366e-09,0.203725322650001,NA
"TD","3",89.17,103.65,211.3,219.07,5.70751418398922e-09,0.609299280065509,NA
"TD","4",93.89,176.33,356.66,364.43,0.00696022673458182,1.44351918882593,NA
"TD","5",95.83,164.69,333.38,341.15,1.85010847937794e-08,1.00400723492467,NA
"TD","6",61.94,223.16,450.32,458.09,3.47615193750688e-08,0.0661851399232821,NA
"TD","7",56.39,206.53,417.06,424.83,0.201855033565092,0.0440315345024697,NA
"TD","8",87.22,84.18,172.36,180.13,0.0133673577682322,1.10907051519346,NA
"TD","9",62.78,201.21,406.42,414.19,0.227129490909091,0.0598149877374234,NA
"TD","10",97.5,115.22,234.44,242.21,2.28923496651365e-08,1.06158824767175,NA
"TD","11",85.28,198.86,401.72,409.49,5.15428236158203e-09,0.596890128173296,NA
"TD","12",58.33,248.96,501.92,509.69,3.57025602075485e-07,0.0593926176208815,NA
"TD","13",93.89,97.19,198.38,206.15,1.25977708136665e-07,0.780541095241455,NA
"TD","14",89.44,94.22,192.44,200.21,1.66700927898484e-10,0.658781186661801,NA
"TD","15",55.83,231.73,467.46,475.23,0.161865189925852,0.0440184494867784,NA
"TD","16",96.67,30.46,64.92,72.69,6.32180816874165e-10,0.956824032183369,NA
"TD","17",55.28,227.24,458.48,466.25,0.0864079463035656,0.0709544441497952,NA
"TD","18",59.72,215.02,434.04,441.81,1.14200478459893e-07,0.0362309625540509,NA
"TD","19",56.11,260.34,524.68,532.45,5.57822088350999e-07,0.0377782367955446,NA
"TD","20",97.22,49.57,103.14,110.91,1.45304053910419e-07,1.01253719736347,NA
"TD","21",95,57.96,119.92,127.69,0.000113516462062864,0.922214681632069,NA
"TD","22",96.11,37.19,78.38,86.15,1.29406926502138e-07,0.883047961391606,NA
"TD","23",60,228.53,461.06,468.83,0.24088964222841,0.04585212155728,NA
"TD","24",51.94,230.46,464.92,472.69,2.26763209382612e-09,0.0205244926476815,NA
"TD","25",88.61,184.41,372.82,380.59,9.18658746602402e-08,0.674871629146953,NA
"TD","26",56.67,221.74,447.48,455.25,6.34634274011053e-08,0.0285139950267034,NA
"TD","27",92.5,143.24,290.48,298.25,2.61750580327824e-08,0.781184240628333,NA
"TD","28",79.17,210.73,425.46,433.23,5.73326199254094e-08,0.445726272275157,NA
"TD","29",59.72,235.04,474.08,481.85,5.58550214430054e-08,0.0409384755725844,NA
"TD","31",93.06,70.96,145.92,153.69,1.14528087739823e-08,0.80770390798693,NA
"TD","32",83.89,149.6,303.2,310.97,2.86376609331163e-08,0.504077239021499,NA
"TD","34",61.11,245.97,495.94,503.71,0.334818097997987,0.0469129648453541,NA
"TD","35",92.22,91.48,186.96,194.73,4.23342023122397e-08,0.672575614651011,NA
"TD","36",90.28,183.59,371.18,378.95,4.50840113332284e-09,0.67446782251967,NA
"TD","37",91.11,203.95,411.9,419.67,5.8277956097955e-09,0.690654705881757,NA
"TD","38",51.94,265,534,541.77,0.0845762535675955,0.0128083512893454,NA
"TD","39",56.39,271.61,547.22,554.99,6.38251401298475e-08,0.0251132437295983,NA
"TD","40",79.44,170.03,344.06,351.83,0.0117244693922947,0.582346459692662,NA
"TD","41",60.83,255,514,521.77,0.325443445365906,0.0365750224170903,NA
"TD","42",95.28,56.58,117.16,124.93,5.76510216954833e-10,0.922977138749819,NA
"TD","43",94.72,83.91,171.82,179.59,1.71810438356634e-08,0.891920301142393,NA
"TD","44",61.39,210.91,425.82,433.59,0.411062958657935,0.0738128192532115,NA
"TD","45",92.22,120.22,244.44,252.21,9.04919502851346e-09,0.786028286157185,NA
"TD","46",89.72,97.54,199.08,206.85,0.00312388574192819,0.750868963877484,NA
"TD","47",53.89,294.2,592.4,600.17,0.132154855086929,4.99161798308884e-08,NA
"TD","48",63.06,206.31,416.62,424.39,3.20779894031263e-07,0.0495796806551319,NA
"TD","49",91.39,132.08,268.16,275.93,7.39704009699523e-08,0.705018016760018,NA
"TD","50",58.89,201.5,407,414.77,0.0677086503173098,0.0769791516360184,NA
"TD","51",85.28,264.92,533.84,541.61,2.98518044760913e-08,0.608752777365263,NA
"TD","52",55.56,252.83,509.66,517.43,0.00394041409387663,0.0202618708027846,NA
"TD","53",82.5,190.93,385.86,393.63,2.77870995502592e-08,0.527783298434468,NA
"TD","54",58.06,215.99,435.98,443.75,3.6213517970626e-07,0.0340686622405264,NA
