"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"TD","1",52.22,249.21,502.42,510.19,0,0.0145421146026845,NA
"TD","2",68.33,176.37,356.74,364.51,0,0.204264869902534,NA
"TD","3",85,103.65,211.3,219.07,0,0.607935443150067,NA
"TD","4",91.39,153.94,311.88,319.65,0.0063317849732044,1.20922072260106,NA
"TD","5",94.72,187.72,379.44,387.21,0,1.0030390139359,NA
"TD","6",60.56,246.13,496.26,504.03,0,0.0624135186797495,NA
"TD","7",59.44,213.64,431.28,439.05,1,0.0336828778122316,NA
"TD","8",84.72,79.14,162.28,170.05,0.015239448103184,1.06829164862573,NA
"TD","9",69.72,197.22,398.44,406.21,0,0.215615090082773,NA
"TD","10",96.94,133.16,270.32,278.09,0,1.14045026294486,NA
"TD","11",83.61,197.14,398.28,406.05,0,0.607935443150067,NA
"TD","12",51.67,266.86,537.72,545.49,1,0.0241958067792226,NA
"TD","13",91.39,74.17,152.34,160.11,0,0.782774669672952,NA
"TD","14",86.94,114.51,233.02,240.79,0,0.670633468223231,NA
"TD","15",48.33,294.19,592.38,600.15,8.26861208898956e-06,1.63592192621377e-05,NA
"TD","16",95.28,30.46,64.92,72.69,0,0.960740283061114,NA
"TD","17",54.44,258.17,520.34,528.11,1,0.00604852093650499,NA
"TD","18",49.72,250.83,505.66,513.43,0,0.011726921998976,NA
"TD","19",55,245.49,494.98,502.75,1,0.0266067626974896,NA
"TD","20",96.11,72.59,149.18,156.95,0,1.00970661620645,NA
"TD","21",94.17,80.3,164.6,172.37,0,0.91994669794237,NA
"TD","22",94.17,37.19,78.38,86.15,0,0.892259446649625,NA
"TD","23",61.11,248.66,501.32,509.09,0.325469139533814,0.0484917336605596,NA
"TD","24",47.5,240.05,484.1,491.87,0,0.0054220604141444,NA
"TD","25",86.11,206.74,417.48,425.25,4.66106167346908e-07,0.674375991965438,NA
"TD","26",49.72,224.39,452.78,460.55,0,0.0178878791698091,NA
"TD","27",89.44,120.22,244.44,252.21,1.31946520387328e-06,0.780871502913401,NA
"TD","28",59.44,255.7,515.4,523.17,0.530421105742538,0.0403402811578838,NA
"TD","29",57.5,234.29,472.58,480.35,0,0.0398289097201304,NA
"TD","31",93.06,47.93,99.86,107.63,0,0.808770283101846,NA
"TD","32",82.5,172.5,349,356.77,0,0.506485965927307,NA
"TD","34",56.94,222.43,448.86,456.63,0.591008997909088,0.0502174064596321,NA
"TD","35",88.33,114.51,233.02,240.79,0,0.670633468223231,NA
"TD","36",85.83,206.61,417.22,424.99,0,0.67304560877735,NA
"TD","37",86.67,181.62,367.24,375.01,0,0.695981994323629,NA
"TD","38",53.06,271.87,547.74,555.51,0.0186357151734664,0,NA
"TD","39",50.56,238.29,480.58,488.35,0,0.00599672870990278,NA
"TD","40",75.28,155.02,314.04,321.81,0,0.392617261922138,NA
"TD","41",86.94,163.22,330.44,338.21,0,0.658261987166915,NA
"TD","42",95.56,56.58,117.16,124.93,0,0.929720325680167,NA
"TD","43",92.78,83.88,171.76,179.53,0,0.889133339381343,NA
"TD","44",58.06,220.59,445.18,452.95,0.210483540243259,0.0494636962440115,NA
"TD","45",90.83,143.2,290.4,298.17,0,0.776806116025769,NA
"TD","46",87.5,74.41,152.82,160.59,0.00398354285964797,0.75300709825329,NA
"TD","47",50.28,283.46,570.92,578.69,0,0.00749328101240853,NA
"TD","48",51.67,268.74,541.48,549.25,0,0.0129847197651177,NA
"TD","49",88.89,132.08,268.16,275.93,0,0.70773439966976,NA
"TD","50",58.06,233.19,470.38,478.15,1,0.0441421718180212,NA
"TD","51",60.56,262.93,529.86,537.63,0,0.0978764963971491,NA
"TD","52",50.56,248.15,500.3,508.07,1e-05,1e-05,NA
"TD","53",80.28,190.93,385.86,393.63,0,0.528040512586724,NA
"TD","54",52.5,244.34,492.68,500.45,0,0.017632677353772,NA
"TD","55",92.5,126.32,256.64,264.41,0,0.915020261263515,NA
"TD","56",89.72,169.3,342.6,350.37,0,0.758212510412538,NA
"TD","57",98.06,41.06,86.12,93.89,0,1.1208961597028,NA
"TD","58",87.22,200.47,404.94,412.71,0,0.698844850029312,NA
"TD","59",89.17,126.25,256.5,264.27,0,0.740778922009439,NA
"TD","60",81.39,123.11,250.22,257.99,0.0467704661599075,0.798308743687677,NA
"TD","61",60.83,240.66,485.32,493.09,0,0.0875718655226106,NA
"TD","62",55.83,244.93,493.86,501.63,0,0.0171420498794966,NA
"TD","63",98.33,41.05,86.1,93.87,0,1.13348816883828,NA
"TD","64",91.94,64.4,132.8,140.57,0,0.864076936972185,NA
"TD","65",63.06,239.94,483.88,491.65,0,0.09478601916839,NA
"TD","67",74.72,148.49,300.98,308.75,0.00600371812043112,0.426858670409358,NA
"TD","68",48.06,222.37,448.74,456.51,0,0.0164849667320172,NA
"TD","69",52.22,248.14,500.28,508.05,1e-05,1e-05,NA
"TD","70",87.5,94.22,192.44,200.21,0,0.660435525770005,NA
"TD","71",55.28,247.54,499.08,506.85,0,0.0151645378647745,NA
"TD","72",46.67,293.5,591,598.77,1e-05,1e-05,NA
"TD","73",93.61,37.86,79.72,87.49,0,0.879077171549435,NA
"TD","74",85.56,166.83,337.66,345.43,0.0240109673832387,1.25189658342166,NA
"TD","75",89.44,129.23,262.46,270.23,0,0.718935204911942,NA
"TD","76",53.06,247.9,499.8,507.57,1,0.0289098640733949,NA
"TD","77",53.33,256.63,517.26,525.03,1,0.035018689033388,NA
"TD","78",93.61,85.23,174.46,182.23,0.00680158189031059,1.36606351693748,NA
"TD","79",61.94,229.22,462.44,470.21,0.916221866211572,0.0639562524428586,NA
"TD","80",80.28,143.32,290.64,298.41,1.26507596917907e-05,0.532611056657094,NA
"TD","81",94.17,103.32,210.64,218.41,0,0.919365609821694,NA
"TD","82",93.61,127.04,258.08,265.85,0,0.927594497679087,NA
"TD","83",88.33,140.2,284.4,292.17,0,0.660435525770005,NA
"TD","84",94.44,76.54,157.08,164.85,0,0.962856105822677,NA
"TD","85",52.78,259.29,522.58,530.35,0,0.00530556021291926,NA
"TD","86",96.67,68.47,140.94,148.71,0,1.06213767623713,NA
"TD","87",53.89,245.92,495.84,503.61,1,0.0285580188154326,NA
"TD","88",61.94,236.86,477.72,485.49,0.632443812148081,0.0427702698947491,NA
"TD","89",58.89,224.33,452.66,460.43,0.331045453929346,0.0590481946034396,NA
"TD","90",56.67,240.32,484.64,492.41,1,0.0242448423260414,NA
"TD","91",66.11,213.56,431.12,438.89,1.16538930091964e-05,0.124700997539857,NA
"TD","92",57.22,224.79,453.58,461.35,1,0.0466890854616197,NA
"TD","93",51.11,242.84,489.68,497.45,0,0.0141715064900862,NA
"TD","94",98.61,13.3,30.6,38.37,0,1.24390010035102,NA
"TD","95",65.83,235.36,474.72,482.49,0,0.125246327985974,NA
"TD","96",49.72,260.53,525.06,532.83,0,0.00552004778809159,NA
"TD","97",87.5,88.76,181.52,189.29,0,0.686927655805929,NA
"TD","98",55.28,242.11,488.22,495.99,1,0.0312067790583419,NA
"TD","99",90.56,97.23,198.46,206.23,0,0.782179981246077,NA
"TD","100",88.33,218.35,440.7,448.47,0,0.738469232106799,NA
"TD","101",55,259.65,523.3,531.07,0.19124395568261,0.0363223677547392,NA
"TD","102",91.11,182.83,369.66,377.43,0,0.826354574235406,NA
"TD","103",93.33,129.93,263.86,271.63,0,0.880491180600312,NA
"TD","104",96.11,71.91,147.82,155.59,0,1.00654865562901,NA
"TD","105",56.67,210.79,425.58,433.35,1,0.0346133963566515,NA
"TD","106",86.11,106.06,216.12,223.89,0,0.596902433095223,NA
"TD","107",82.5,118.15,240.3,248.07,0.0349874730932082,0.923996994420219,NA
"TD","108",77.22,145.48,294.96,302.73,2.86638960055245e-06,0.435146564593964,NA
"TD","109",54.17,235.09,474.18,481.95,0,0.0183603263396928,NA
"TD","110",96.39,48.89,101.78,109.55,0,1.00988469314103,NA
"TD","111",88.61,111.15,226.3,234.07,0,0.689644786516174,NA
"TD","113",88.33,88.82,181.64,189.41,0,0.691940747747216,NA
"TD","114",83.61,111.35,226.7,234.47,0,0.569722921981658,NA
"TD","115",56.11,216.89,437.78,445.55,1,0.032431307444341,NA
"TD","116",65.83,215.99,435.98,443.75,0.680430002812111,0.0629569403864331,NA
"TD","117",66.39,171.16,346.32,354.09,0,0.227719501695004,NA
"TD","118",87.5,86.03,176.06,183.83,0,0.702235228608181,NA
"TD","119",98.61,54.08,112.16,119.93,0,1.40730897921471,NA
"TD","120",90,77.2,158.4,166.17,0,0.762844198932488,NA
"TD","121",80,148.2,300.4,308.17,3.84469901455175e-06,0.419359287425971,NA
"TD","122",80.28,181.82,367.64,375.41,0,0.468676578216256,NA
"TD","123",82.78,223.56,451.12,458.89,0,0.584935256610319,NA
"TD","124",86.94,117.17,238.34,246.11,0,0.660435525770005,NA
"TD","125",88.06,197.61,399.22,406.99,0,0.718935204911942,NA
"TD","126",86.94,114.51,233.02,240.79,0,0.668242536526108,NA
"TD","127",92.5,179.46,362.92,370.69,0,0.855794364908074,NA
"TD","128",52.5,260.01,524.02,531.79,0,0.00554245691823088,NA
"TD","129",96.94,45.43,94.86,102.63,0,1.05564329751241,NA
"RSTD","1",56.39,243.69,493.38,505.04,1.88623405991521e-05,3.06986719484991e-05,0.0290009374028545
"RSTD","2",68.33,176.37,358.74,370.4,0,0,0.201521311594093
"RSTD","3",85,103.66,213.32,224.98,2.3651480697349e-06,0,0.611095841685322
"RSTD","4",91.67,153.5,313,324.66,0.00450460504329839,0,1.20144594678317
"RSTD","5",94.72,187.81,381.62,393.28,0.00318457143074973,0.174999454969303,1.00948503034625
"RSTD","6",88.61,287.31,580.62,592.28,0.0251834343683106,0.354897350021367,1.02056394306606
"RSTD","7",56.39,213.75,433.5,445.16,1,0.827159757533255,0.0255967344076309
"RSTD","8",86.11,125.21,256.42,268.08,0.0494274700009997,0.213885342181607,0.899015607185814
"RSTD","9",69.72,197.22,400.44,412.1,1.6555310154186e-06,0,0.21666344933171
"RSTD","10",96.67,133.16,272.32,283.98,0,0.170732491924898,1.12497416296946
"RSTD","11",83.89,197.15,400.3,411.96,8.03892421480483e-07,0.029868142228662,0.614015141881673
"RSTD","12",57.22,248.95,503.9,515.56,9.17974390131659e-05,3.19846037862843e-05,0.054228956313654
"RSTD","13",91.39,74.17,154.34,166,0,0.134076514306114,0.77921329913926
"RSTD","14",86.94,114.51,235.02,246.68,0,0,0.671368154083525
"RSTD","15",58.61,255.25,516.5,528.16,0.0108025218118211,0.117797485523037,0.0430621550423025
"RSTD","16",95,30.7,67.4,79.06,0.00739170698403477,0.370827625257764,0.955420320891112
"RSTD","17",62.22,214.73,435.46,447.12,0.0722045296670685,0,0.06482256775128
