"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"TD","1",55.56,253.72,511.44,519.21,0.146667645847797,0.0379483384266496,NA
"TD","2",71.94,199.22,402.44,410.21,0.00918664959445592,0.472731503304094,NA
"TD","3",78.89,180.51,365.02,372.79,0.0246136845089495,1.02864644257352,NA
"TD","4",84.72,176.92,357.84,365.61,0.0246136845089495,1.02864644257352,NA
"TD","5",82.22,248.23,500.46,508.23,0.0246136845089495,1.02864644257352,NA
"TD","6",53.06,267.14,538.28,546.05,0.287577520124614,0.0214851152971385,NA
"TD","7",56.94,217.26,438.52,446.29,0.563984105320275,0.0179502267390488,NA
"TD","8",84.17,95.99,195.98,203.75,0.0246136845089495,1.02864644257352,NA
"TD","9",56.39,230.4,464.8,472.57,0.0455564993899316,0.0493526436261893,NA
"TD","10",97.5,185.59,375.18,382.95,0.000148825341835641,8.95045359153301,NA
"TD","11",55.56,232.11,468.22,475.99,0.259790585609153,0.0430471308529377,NA
"TD","12",57.22,256.68,517.36,525.13,0.0756164886988699,0.0379483384266496,NA
"TD","13",82.5,138.2,280.4,288.17,0.0246136845089495,1.02864644257352,NA
"TD","14",77.5,221.49,446.98,454.75,0.0246136845089495,1.02864644257352,NA
"TD","15",51.39,272.5,549,556.77,0.414546335814521,0.0158011490949691,NA
"TD","16",75,139.11,282.22,289.99,0.0409470327198505,0.587030500173569,NA
"TD","17",59.44,230.2,464.4,472.17,0.0455564993899316,0.118742801634431,NA
"TD","18",56.11,249.64,503.28,511.05,0.421590284694359,0.0295104357478025,NA
"TD","19",55.28,248.9,501.8,509.57,0.497041232329607,0.0379483384266496,NA
"TD","20",84.72,120.78,245.56,253.33,0.0246136845089495,1.02864644257352,NA
"TD","21",81.39,154.04,312.08,319.85,0.0246136845089495,1.02864644257352,NA
"TD","22",86.11,72.34,148.68,156.45,0.0246136845089495,1.02864644257352,NA
"TD","23",59.44,252.88,509.76,517.53,0.287577520124614,0.0422282608225941,NA
"TD","24",50.83,242.41,488.82,496.59,0.640506813768297,0.0165655483699398,NA
"TD","25",85.56,221.51,447.02,454.79,0.00647342311590909,0.916080775380134,NA
"TD","26",46.94,231.36,466.72,474.49,0.640506813768297,0.0128456887871027,NA
"TD","27",75.56,232.76,469.52,477.29,0.0246136845089495,1.02864644257352,NA
"TD","28",59.17,255.85,515.7,523.47,0.48621757247448,0.0379483384266496,NA
"TD","29",58.61,250.96,505.92,513.69,0.497041232329607,0.0379483384266496,NA
"TD","31",80.83,136.38,276.76,284.53,0.0246136845089495,1.02864644257352,NA
