"simulate_model","fit_model","iteration","ACC","LL","AIC","BIC","input_param_1","input_param_2","output_param_1","output_param_2","output_param_3","input_param_3"
"TD","TD",1,82.5,-159.77,323.54,331.31,0.643091264180839,0.83357874206723,0.708530468167737,0.496258363546804,NA,NA
"TD","TD",2,89.17,-142.74,289.48,297.25,0.724670132622123,1.43561604238095,0.78112331032753,0.758974962132052,NA,NA
"TD","TD",3,94.17,-126.6,257.2,264.97,0.950232450617477,2.03779015681686,0.896070680953562,1.77634091046639,NA,NA
"TD","TD",4,63.06,-223.04,450.08,457.85,0.682289758697152,0.0720224548131227,0.147113647311926,0.049433094821647,NA,NA
"TD","TD",5,73.33,-181.99,367.98,375.75,0.200363578274846,1.00568439900399,0.410299946922436,0.327914854099974,NA,NA
"TD","TD",6,65.56,-212.73,429.46,437.23,0.321220333920792,0.298665664158762,0.406272720731795,0.165600211592391,NA,NA
"TD","TD",7,61.11,-238.65,481.3,489.07,0.571441247593611,0.0502132950350642,0.0455564993899316,0.0357833524755316,NA,NA
"TD","TD",8,69.44,-203.13,410.26,418.03,0.973066303646192,0.392999498639256,0.651829779762775,0.187097935611382,NA,NA
"TD","TD",9,51.94,-271.21,546.42,554.19,0.895209939451888,0.0054737395918251,0.414546335814521,0.000625708112493142,NA,NA
"TD","TD",10,61.67,-222.87,449.74,457.51,0.0494146177079529,0.507862410508096,0.102924682665616,0.0852651226986201,NA,NA
"TD","TD",11,60.28,-221.63,447.26,455.03,0.197620301274583,0.18983699940145,0.147113647311926,0.0581296056924015,NA,NA
"TD","TD",12,60.28,-224.48,452.96,460.73,0.0560640415642411,0.566026730462909,0.102924682665616,0.0852651226986201,NA,NA
"TD","TD",13,59.44,-218.56,441.12,448.89,0.051307131536305,1.23247370731968,0.147113647311926,0.0937379534147413,NA,NA
"TD","TD",14,69.44,-196.17,396.34,404.11,0.989872474921867,0.208000437050192,0.489237285684794,0.180785761028528,NA,NA
"TD","TD",15,68.61,-193.23,390.46,398.23,0.711294803768396,0.57632797351107,0.437177059803158,0.192765047367662,NA,NA
"TD","TD",16,51.67,-270.77,545.54,553.31,0.0768930825870484,0.00966986734420061,0.343509597908705,0.00312386662699282,NA,NA
"TD","TD",17,89.17,-137.9,279.8,287.57,0.797194604296237,2.5054881726885,0.729213791899383,0.754299798049033,NA,NA
"TD","TD",18,85,-143.64,291.28,299.05,0.731893435353413,1.27495420533688,0.708530468167737,0.496258363546804,NA,NA
"TD","TD",19,82.22,-167.68,339.36,347.13,0.809085062006488,0.797056699129653,0.62970684132725,0.488569544414058,NA,NA
"TD","TD",20,87.22,-163.26,330.52,338.29,0.511981163173914,2.39124982816227,0.354246039642021,0.776396083645523,NA,NA
