"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"TD","1",51.67,261.17,526.34,534.11,0.994269776623696,0.00624773325398564,NA
"TD","2",53.89,234.57,473.14,480.91,0.994269776623696,0.00624773325398564,NA
"TD","3",78.89,180.51,365.02,372.79,0.0246136845089495,1.02864644257352,NA
"TD","4",84.72,176.92,357.84,365.61,0.0246136845089495,1.02864644257352,NA
"TD","5",82.22,248.23,500.46,508.23,0.0246136845089495,1.02864644257352,NA
"TD","6",48.33,282.73,569.46,577.23,0.994269776623696,0.00624773325398564,NA
"TD","7",51.67,233.91,471.82,479.59,0.994269776623696,0.00624773325398564,NA
"TD","8",84.17,95.99,195.98,203.75,0.0246136845089495,1.02864644257352,NA
"TD","9",51.39,258.42,520.84,528.61,0.994269776623696,0.00624773325398564,NA
"TD","10",82.22,188.08,380.16,387.93,0.0246136845089495,1.02864644257352,NA
"TD","11",48.89,259.07,522.14,529.91,0.994269776623696,0.00624773325398564,NA
"TD","12",51.11,281.27,566.54,574.31,0.994269776623696,0.00624773325398564,NA
"TD","13",82.5,138.2,280.4,288.17,0.0246136845089495,1.02864644257352,NA
"TD","14",77.5,221.49,446.98,454.75,0.0246136845089495,1.02864644257352,NA
"TD","15",48.89,283.99,571.98,579.75,0.994269776623696,0.00624773325398564,NA
"TD","16",80.56,139.35,282.7,290.47,0.0246136845089495,1.02864644257352,NA
"TD","17",54.44,257.8,519.6,527.37,0.994269776623696,0.00624773325398564,NA
"TD","18",48.61,260.7,525.4,533.17,0.994269776623696,0.00624773325398564,NA
"TD","19",48.33,260.14,524.28,532.05,0.994269776623696,0.00624773325398564,NA
"TD","20",84.72,120.78,245.56,253.33,0.0246136845089495,1.02864644257352,NA
"TD","21",81.39,154.04,312.08,319.85,0.0246136845089495,1.02864644257352,NA
"TD","22",86.11,72.34,148.68,156.45,0.0246136845089495,1.02864644257352,NA
"TD","23",53.06,280.28,564.56,572.33,0.994269776623696,0.00624773325398564,NA
"TD","24",48.61,244.2,492.4,500.17,0.994269776623696,0.00624773325398564,NA
"TD","25",50.56,281.96,567.92,575.69,0.994269776623696,0.00624773325398564,NA
"TD","26",47.78,237.8,479.6,487.37,0.994269776623696,0.00624773325398564,NA
"TD","27",75.56,232.76,469.52,477.29,0.0246136845089495,1.02864644257352,NA
"TD","28",48.33,280.24,564.48,572.25,0.994269776623696,0.00624773325398564,NA
"TD","29",47.22,260.02,524.04,531.81,0.994269776623696,0.00624773325398564,NA
"TD","31",80.83,136.38,276.76,284.53,0.0246136845089495,1.02864644257352,NA
"TD","32",76.94,256.88,517.76,525.53,0.0246136845089495,1.02864644257352,NA
"TD","34",50.83,257.16,518.32,526.09,0.994269776623696,0.00624773325398564,NA
"TD","35",80.83,151.7,307.4,315.17,0.0246136845089495,1.02864644257352,NA
"TD","36",81.11,243.23,490.46,498.23,0.0246136845089495,1.02864644257352,NA
"TD","37",83.06,223.32,450.64,458.41,0.0246136845089495,1.02864644257352,NA
"TD","38",51.39,265.88,535.76,543.53,0.994269776623696,0.00624773325398564,NA
"TD","39",50.28,240.89,485.78,493.55,0.994269776623696,0.00624773325398564,NA
"TD","40",71.39,188.97,381.94,389.71,0.0246136845089495,1.02864644257352,NA
"TD","41",80.28,224.23,452.46,460.23,0.0246136845089495,1.02864644257352,NA
"TD","42",81.67,103.14,210.28,218.05,0.0246136845089495,1.02864644257352,NA
"TD","43",81.39,148.61,301.22,308.99,0.0246136845089495,1.02864644257352,NA
"TD","44",50,254.92,513.84,521.61,0.994269776623696,0.00624773325398564,NA
"TD","45",52.22,258.84,521.68,529.45,0.994269776623696,0.00624773325398564,NA
"TD","46",84.44,105.51,215.02,222.79,0.0246136845089495,1.02864644257352,NA
"TD","47",51.94,288.93,581.86,589.63,0.994269776623696,0.00624773325398564,NA
