"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"TD","1",49.17,271.15,546.3,554.07,1e-05,1e-05,NA
"TD","2",66.11,177.3,358.6,366.37,0,0.160844054711561,NA
"TD","3",84.17,103.91,211.82,219.59,0,0.57031826657294,NA
"TD","4",86.39,167.85,339.7,347.47,0.0205304101109505,1.15714699670843,NA
"TD","5",91.39,219.72,443.44,451.21,0.0227915647990358,2.50684938987251,NA
"TD","6",58.89,250.5,505,512.77,0.00387180509278551,0.0494783448597193,NA
"TD","7",57.22,214.91,433.82,441.59,0.839899587559557,0.0205259101792257,NA
"TD","8",83.61,83.86,171.72,179.49,0.0111388919467572,0.896530337631702,NA
"TD","9",74.72,199.21,402.42,410.19,0,0.340649597853159,NA
"TD","10",96.39,133.38,270.76,278.53,0,1.04558910429478,NA
"TD","11",85.56,197.95,399.9,407.67,0,0.679922197761698,NA
"TD","12",49.44,293.48,590.96,598.73,1e-05,1e-05,NA
"TD","13",76.11,120.64,245.28,253.05,0.0013414837885648,0.288094688687801,NA
"TD","14",61.11,223.6,451.2,458.97,0.0520184274864732,0.128467793366432,NA
"TD","15",47.78,294.18,592.36,600.13,0.45521554350853,1e-05,NA
"TD","16",96.94,31.12,66.24,74.01,0,1.08681727945805,NA
"TD","17",61.11,226.62,457.24,465.01,0.0206917437171796,0.0800815207166781,NA
"TD","18",54.17,242.28,488.56,496.33,0.00310738604434846,0.0395875841996794,NA
"TD","19",46.39,271.15,546.3,554.07,1e-05,1e-05,NA
"TD","20",98.06,84.29,172.58,180.35,0,1.83314922451973,NA
"TD","21",77.78,208.6,421.2,428.97,0.118827290832996,0.741931200493127,NA
"TD","22",89.72,93.63,191.26,199.03,0.030561089515686,1.84159958921373,NA
"TD","23",60.83,249.11,502.22,509.99,0.330831326544285,0.045692884393692,NA
"TD","24",45.56,248.13,500.26,508.03,1e-05,1e-05,NA
"TD","25",46.11,294.17,592.34,600.11,1e-05,1e-05,NA
"TD","26",46.11,247.43,498.86,506.63,1e-05,1e-05,NA
"TD","27",92.5,123.1,250.2,257.97,0.000612620409810916,0.957634855700235,NA
"TD","28",60,256.41,516.82,524.59,0.530900173587725,0.0437449945678711,NA
"TD","29",45.83,271.15,546.3,554.07,1e-05,1e-05,NA
"TD","31",96.67,148.01,300.02,307.79,1e-05,3.3324668954203,NA
"TD","32",60.83,228.5,461,468.77,0.0154871850825202,0.115513080393458,NA
"TD","34",52.22,235.09,474.18,481.95,0.633179258396922,0.0205229101788872,NA
"TD","35",88.06,114.64,233.28,241.05,0,0.642866564223707,NA
"TD","36",77.22,246.8,497.6,505.37,0.0269637142773718,0.918451623909505,NA
"TD","37",45.28,271.84,547.68,555.45,1e-05,1e-05,NA
"TD","38",53.33,265.33,534.66,542.43,0.908111045137048,0.0197349956877083,NA
"TD","39",47.22,248.82,501.64,509.41,1e-05,1e-05,NA
"TD","40",82.5,158.25,320.5,328.27,0.0100902626398305,1.05466885399054,NA
"TD","41",92.5,179.93,363.86,371.63,1e-05,1.09003979192375,NA
"TD","42",83.89,104.78,213.56,221.33,0.0225587620950591,1.0547432032821,NA
"TD","43",96.39,94.78,193.56,201.33,0,1.45279103890061,NA
"TD","44",53.61,238.67,481.34,489.11,0.860674759722315,0.0156210330467224,NA
"TD","45",89.72,143.48,290.96,298.73,0,0.726902948692441,NA
"TD","46",87.5,75.43,154.86,162.63,0.00629120555822738,0.869324035127647,NA
"TD","47",48.33,294.18,592.36,600.13,1e-05,1e-05,NA
"TD","48",63.06,258.3,520.6,528.37,0,0.105215043602726,NA
"TD","49",88.89,132.1,268.2,275.97,1e-05,0.711407094495371,NA
"TD","50",59.17,224.51,453.02,460.79,0.060132203637977,0.10662212101158,NA
"TD","51",55,283.53,571.06,578.83,0.990885240415082,0.0196523491099369,NA
"TD","52",51.11,231.6,467.2,474.97,0.102393349050544,0.023034254527248,NA
"TD","53",81.11,198.62,401.24,409.01,0.00286391203455672,0.661993509158492,NA
"TD","54",46.67,271.15,546.3,554.07,1e-05,1e-05,NA
"TD","55",92.78,126.39,256.78,264.55,0,0.955144137144089,NA
"TD","56",56.94,254.25,512.5,520.27,0.0815567963618378,0.0398369859186636,NA
"TD","57",98.06,41.12,86.24,94.01,0,1.08682528138161,NA
"TD","58",86.94,200.47,404.94,412.71,0,0.703349595190957,NA
"TD","59",93.33,135.79,275.58,283.35,1e-05,1.10606750808591,NA
"TD","60",82.5,126.58,257.16,264.93,0.0737221082672477,0.889762096107006,NA
"TD","61",46.11,294.17,592.34,600.11,1e-05,1e-05,NA
"TD","62",61.11,247.12,498.24,506.01,0.0205646911360873,0.0591551509863823,NA
"TD","63",98.61,78.65,161.3,169.07,0.0013414837885648,4.52128948531754,NA
"TD","64",95.28,66.19,136.38,144.15,0,1.03487938194303,NA
"TD","65",47.78,294.17,592.34,600.11,1e-05,1e-05,NA
"TD","67",76.94,147.87,299.74,307.51,0.0174351519846809,0.706954245688394,NA
"TD","68",50,221.71,447.42,455.19,0.0116372020202107,0.0223398963141739,NA
"TD","69",52.22,248.14,500.28,508.05,1e-05,1e-05,NA
"TD","70",87.5,94.23,192.46,200.23,9.99999162645446e-06,0.664935222826898,NA
"TD","71",51.67,271.15,546.3,554.07,1e-05,1e-05,NA
"TD","72",46.67,293.5,591,598.77,1e-05,1e-05,NA
"TD","73",96.11,39.59,83.18,90.95,0,1.0729280214855,NA
"TD","74",86.94,180.49,364.98,372.75,0.0356701433702256,1.89167067140806,NA
"TD","75",89.44,129.25,262.5,270.27,1e-05,0.712499629007652,NA
"TD","76",45.83,271.15,546.3,554.07,1e-05,1e-05,NA
"TD","77",59.72,244.35,492.7,500.47,0.474036574363708,0.0556141121854782,NA
"TD","78",93.06,86.99,177.98,185.75,0.0116372020202107,1.94140594681244,NA
"TD","79",60.83,230.69,465.38,473.15,0.902848505065776,0.0456028357382194,NA
