"fit_model","Subject","ACC","LogL","AIC","BIC","param_1","param_2","param_3"
"TD","1",56.39,243.68,491.36,499.13,0,0.0296416008347547,NA
"TD","2",68.33,176.37,356.74,364.51,0,0.203069296617145,NA
"TD","3",85,103.66,211.32,219.09,0,0.607891322685581,NA
"TD","4",90.56,154.04,312.08,319.85,0.00562953517846034,1.12089096754498,NA
"TD","5",95,187.73,379.46,387.23,0,1.02302960794102,NA
"TD","6",83.06,270.22,544.44,552.21,0,0.578563031011211,NA
"TD","7",58.89,207.78,419.56,427.33,0.655398616531886,0.0331929007841249,NA
"TD","8",85.28,79.61,163.22,170.99,0.0156805256376961,1.18207465138837,NA
"TD","9",76.94,198.07,400.14,407.91,0,0.409362021854368,NA
"TD","10",97.5,185.59,375.18,382.95,1e-05,10,NA
"TD","11",83.61,197.15,398.3,406.07,0,0.602631614026638,NA
"TD","12",56.67,248.89,501.78,509.55,0,0.0535822099266064,NA
"TD","13",91.39,74.17,152.34,160.11,0,0.782204328090441,NA
"TD","14",86.94,114.51,233.02,240.79,0,0.673904037241624,NA
"TD","15",55.28,263.56,531.12,538.89,0.0793177815930118,0.0286765374404227,NA
"TD","16",97.78,139.54,283.08,290.85,1e-05,10,NA
"TD","17",60.56,225.67,455.34,463.11,0.0269459159814703,0.0687314153923847,NA
"TD","18",53.61,240.5,485,492.77,0,0.0325091946839507,NA
"TD","19",57.5,235.11,474.22,481.99,0,0.0402258098187921,NA
"TD","20",98.06,162.57,329.14,336.91,1e-05,10,NA
"TD","21",97.22,208.62,421.24,429.01,1e-05,10,NA
"TD","22",97.78,184.9,373.8,381.57,1e-05,10,NA
"TD","23",46.67,294.2,592.4,600.17,1e-05,9.99999984276566e-06,NA
"TD","24",51.11,231.54,467.08,474.85,0,0.0206130161932571,NA
"TD","25",86.11,206.74,417.48,425.25,0,0.677872242601591,NA
"TD","26",53.33,221.74,447.48,455.25,0,0.0283869540108664,NA
"TD","27",89.44,120.22,244.44,252.21,0,0.782688236442589,NA
"TD","28",58.89,264.27,532.54,540.31,0.0926480070601601,0.0339209228049701,NA
"TD","29",57.5,234.29,472.58,480.35,0,0.0401299162959842,NA
"TD","31",93.06,47.93,99.86,107.63,0,0.807184148787594,NA
"TD","32",82.5,172.5,349,356.77,0,0.507763046719453,NA
"TD","34",56.94,222.54,449.08,456.85,0.592501906812222,0.0493147475058662,NA
"TD","35",88.33,114.52,233.04,240.81,0,0.663697973165181,NA
"TD","36",85.83,206.61,417.22,424.99,0,0.671629515802521,NA
"TD","37",86.67,181.62,367.24,375.01,0,0.690296032580672,NA
"TD","38",53.06,271.87,547.74,555.51,1e-05,0,NA
"TD","39",54.72,225.63,455.26,463.03,0,0.0258935062507271,NA
