"fit_model","Subject","ACC","LogL","LogPr","LogPo","AIC","BIC","param_1","param_2","param_3"
"TD","1",66.39,228.64,NA,NA,461.28,469.05,0.0179470245140351,0.298776878054435,NA
"TD","2",53.33,235.33,NA,NA,474.66,482.43,0.01,0.01,NA
"TD","3",55,223.02,NA,NA,450.04,457.81,0.01,0.01,NA
"TD","4",91.11,73.18,NA,NA,150.36,158.13,0,0.848736541258879,NA
"TD","5",95,50.34,NA,NA,104.68,112.45,0,1.11917315071001,NA
"TD","6",49.72,228.56,NA,NA,461.12,468.89,0.01,0.01,NA
"TD","7",51.11,226.05,NA,NA,456.1,463.87,0.01,0.01,NA
"TD","8",60.83,210.83,NA,NA,425.66,433.43,0.35056488006296,0.0534842255738043,NA
"TD","9",59.17,206.09,NA,NA,416.18,423.95,0.059176088268392,0.0503162259132494,NA
"TD","10",96.94,37.15,NA,NA,78.3,86.07,0.00172365801480401,5.9702542814369,NA
"TD","11",52.78,235.74,NA,NA,475.48,483.25,0.0679431836852271,0.0314244455163024,NA
"TD","12",57.78,207.35,NA,NA,418.7,426.47,0.207015770116803,0.0463401805380846,NA
"TD","13",92.5,56.47,NA,NA,116.94,124.71,0,0.84133640067772,NA
"TD","14",58.89,219.34,NA,NA,442.68,450.45,0.105705415797312,0.0525533707896616,NA
"TD","15",86.67,121.04,NA,NA,246.08,253.85,0,0.541388211512155,NA
"TD","16",96.39,35.84,NA,NA,75.68,83.45,0,1.06519223143955,NA
"TD","17",65.83,203.08,NA,NA,410.16,417.93,0.0261876169816643,0.0616941017529035,NA
"TD","18",60.56,219.27,NA,NA,442.54,450.31,0,0.0389606459508711,NA
"TD","19",54.44,235.9,NA,NA,475.8,483.57,0.01,0.01,NA
"TD","20",96.39,36.47,NA,NA,76.94,84.71,0,1.20090911181226,NA
"TD","21",96.67,38.89,NA,NA,81.78,89.55,0,1.0417050580005,NA
"TD","22",52.5,227.66,NA,NA,459.32,467.09,0.01,0.01,NA
"TD","23",52.5,227.39,NA,NA,458.78,466.55,0.01,0.01,NA
"TD","24",56.67,234.21,NA,NA,472.42,480.19,0,0.0226067424866309,NA
"TD","25",90,91.6,NA,NA,187.2,194.97,0,0.715733458661117,NA
"TD","26",48.06,265.7,NA,NA,535.4,543.17,0.01,0.01,NA
"TD","27",53.61,229.5,NA,NA,463,470.77,0.01,0.01,NA
"TD","28",55.56,226.12,NA,NA,456.24,464.01,0.01,0.01,NA
"TD","29",86.94,123.71,NA,NA,251.42,259.19,0.00148512561641286,0.653335653705371,NA
"TD","31",93.61,57.87,NA,NA,119.74,127.51,0,0.86504063473975,NA
"TD","32",86.39,113.35,NA,NA,230.7,238.47,0,0.527816497515942,NA
"TD","34",97.78,27.52,NA,NA,59.04,66.81,0,1.51253939109216,NA
"TD","35",91.11,78.39,NA,NA,160.78,168.55,0,0.714588942958425,NA
"TD","36",88.61,92.23,NA,NA,188.46,196.23,0,0.689606070216901,NA
"TD","37",54.17,230.38,NA,NA,464.76,472.53,0.01,0.01,NA
"TD","38",91.11,142.16,NA,NA,288.32,296.09,0.134731475330455,9.36121106591612,NA
"TD","39",50.56,232.04,NA,NA,468.08,475.85,0,0.0256336892178788,NA
"TD","40",74.44,130.28,NA,NA,264.56,272.33,0.00451227291964902,0.363526028857113,NA
"TD","41",61.11,217.03,NA,NA,438.06,445.83,0.169897604350958,0.0411359679455153,NA
"TD","42",95.28,34.58,NA,NA,73.16,80.93,0,0.941874368442027,NA
"TD","43",95.83,39.27,NA,NA,82.54,90.31,0,0.992598772803378,NA
"TD","44",61.67,211.69,NA,NA,427.38,435.15,0.24870043621438,0.0526445813347911,NA
"TD","45",91.39,65.63,NA,NA,135.26,143.03,0,0.85232604978997,NA
"TD","46",60,206.95,NA,NA,417.9,425.67,0.138534393541818,0.0639856136465971,NA
"TD","47",49.44,240.99,NA,NA,485.98,493.75,0.01,0.01,NA
