"fit_model","Subject","ACC","LogL","LogPr","LogPo","AIC","BIC","param_1","param_2","param_3"
"TD","1",100,239.45,NA,NA,482.9,490.67,0.0135640078975023,0.323735918194961,NA
"TD","2",100,167.64,NA,NA,339.28,347.05,0,0.295290800784953,NA
"TD","3",100,171.21,NA,NA,346.42,354.19,0.979746272731426,0.652677837324949,NA
"TD","4",100,61.83,NA,NA,127.66,135.43,0.00767932191281343,1.67060838824312,NA
"TD","5",100,147.13,NA,NA,298.26,306.03,0,1.26819553744418,NA
"TD","6",100,255.31,NA,NA,514.62,522.39,0.01,0.01,NA
"TD","7",100,143.91,NA,NA,291.82,299.59,1,0.681898123335102,NA
"TD","8",100,83.35,NA,NA,170.7,178.47,0.0109704942253706,1.04428045720892,NA
"TD","9",100,241.72,NA,NA,487.44,495.21,0.01,0.01,NA
"TD","10",100,51.41,NA,NA,106.82,114.59,0,1.30564568197436,NA
"TD","11",100,105.04,NA,NA,214.08,221.85,0,0.613067530690524,NA
"TD","12",100,213.74,NA,NA,431.48,439.25,0,0.119483316459045,NA
"TD","13",100,126.14,NA,NA,256.28,264.05,0.943774991269819,0.959344568333456,NA
"TD","14",100,96.89,NA,NA,197.78,205.55,0.00290360673296911,4.30791847038709,NA
"TD","15",100,186.84,NA,NA,377.68,385.45,1,0.552566971044536,NA
"TD","16",100,126.94,NA,NA,257.88,265.65,0.908102631360718,4.17236707303459,NA
"TD","17",100,198.49,NA,NA,400.98,408.75,0.0390296263034065,0.342485495764589,NA
"TD","18",100,208.26,NA,NA,420.52,428.29,0,0.301519499756381,NA
"TD","19",100,192.77,NA,NA,389.54,397.31,0,0.38290017548815,NA
"TD","20",100,105.32,NA,NA,214.64,222.41,0.993088511837364,1.18612409156264,NA
"TD","21",100,226.17,NA,NA,456.34,464.11,0.01,0.01,NA
"TD","22",100,37.93,NA,NA,79.86,87.63,0,0.982745861324805,NA
"TD","23",100,230.35,NA,NA,464.7,472.47,0.01,0.01,NA
"TD","24",100,106.07,NA,NA,216.14,223.91,0,2.1927263122858,NA
"TD","25",100,113.71,NA,NA,231.42,239.19,0.011044455960327,2.9105378519215,NA
"TD","26",100,233.85,NA,NA,471.7,479.47,0.957522029084242,0.484754287653749,NA
"TD","27",100,135.26,NA,NA,274.52,282.29,0.969941705968627,0.875658013362356,NA
"TD","28",100,230.36,NA,NA,464.72,472.49,0.01,0.01,NA
"TD","29",100,130.16,NA,NA,264.32,272.09,0,0.60943518876225,NA
"TD","31",100,121.74,NA,NA,247.48,255.25,1,0.852775477599137,NA
"TD","32",100,111.31,NA,NA,226.62,234.39,0,0.531860983688936,NA
"TD","34",100,28.67,NA,NA,61.34,69.11,0,2.17324274629015,NA
"TD","35",100,146.3,NA,NA,296.6,304.37,0.949748146762242,0.864028086788252,NA
"TD","36",100,223.27,NA,NA,450.54,458.31,0.913683447606358,0.851038514095754,NA
"TD","37",100,134.72,NA,NA,273.44,281.21,0.982351285353581,0.781261460582319,NA
"TD","38",100,952.03,NA,NA,1908.06,1915.83,0.01,0.01,NA
"TD","39",100,245.45,NA,NA,494.9,502.67,0,0.0269287617906188,NA
"TD","40",100,136.55,NA,NA,277.1,284.87,0.00395353639233696,0.380603868150818,NA
"TD","41",100,85.65,NA,NA,175.3,183.07,0,0.70255112505453,NA
"TD","42",100,82.16,NA,NA,168.32,176.09,0.910569345629325,1.7141710495045,NA
"TD","43",100,103.34,NA,NA,210.68,218.45,1,0.983925105107234,NA
"TD","44",100,119.03,NA,NA,242.06,249.83,1,1.16011008318654,NA
"TD","45",100,224.95,NA,NA,453.9,461.67,0.01,0.01,NA
"TD","46",100,185.11,NA,NA,374.22,381.99,1,0.662926058360256,NA
"TD","47",100,219.57,NA,NA,443.14,450.91,1,0.801150767537336,NA
"TD","48",100,164.68,NA,NA,333.36,341.13,0,0.42569099937396,NA
"TD","49",100,77.88,NA,NA,159.76,167.53,0,0.689635935067844,NA
"TD","50",100,249.53,NA,NA,503.06,510.83,0.049691981186754,0,NA
"TD","51",100,129.4,NA,NA,262.8,270.57,0,0.704247094283508,NA
"TD","52",100,243.12,NA,NA,490.24,498.01,0.790386361449166,0.440719552292882,NA
"TD","53",100,210.33,NA,NA,424.66,432.43,0.972205477482094,0.0571980417934809,NA
"TD","54",100,269.65,NA,NA,543.3,551.07,0.01,0.01,NA
"TD","55",100,53.34,NA,NA,110.68,118.45,0,1.06537423683605,NA
"TD","56",100,70.87,NA,NA,145.74,153.51,0,0.846138139645505,NA
"TD","57",100,249.53,NA,NA,503.06,510.83,1,0,NA
"TD","58",100,91.25,NA,NA,186.5,194.27,0,0.728544306686218,NA
"TD","59",100,228.41,NA,NA,460.82,468.59,0.01,0.01,NA
"TD","60",100,117.32,NA,NA,238.64,246.41,0.0312294034846395,3.40048384599962,NA
"TD","61",100,127.83,NA,NA,259.66,267.43,0,0.579290814331675,NA
