"simulate_model","fit_model","iteration","ACC","LogL","LogPr","LogPo","AIC","BIC","input_param_1","input_param_2","output_param_1","output_param_2","output_param_3","input_param_3"
"TD","TD",1,85.56,-110.99,NA,NA,225.98,233.75,0.643091264180839,0.83357874206723,0.5219246744059,0.69991127500038,NA,NA
"TD","TD",2,93.89,-82.18,NA,NA,168.36,176.13,0.724670132622123,1.43561604238095,0.835993305316004,2.25525743098158,NA,NA
"TD","TD",3,93.61,-76.42,NA,NA,156.84,164.61,0.950232450617477,2.03779015681686,0.890128568151043,4.22169340007315,NA,NA
"TD","TD",4,57.5,-213.14,NA,NA,430.28,438.05,0.682289758697152,0.0720224548131227,0.018515132890719,0.0585980160818959,NA,NA
"TD","TD",5,82.78,-148.01,NA,NA,300.02,307.79,0.200363578274846,1.00568439900399,0.499405623300852,0.710906726767706,NA,NA
"TD","TD",6,63.61,-204.13,NA,NA,412.26,420.03,0.321220333920792,0.298665664158762,0.848083396071716,0.127729774210543,NA,NA
"TD","TD",7,55.83,-222.68,NA,NA,449.36,457.13,0.571441247593611,0.0502132950350642,0.00888501780275106,0.0387266043911183,NA,NA
"TD","TD",8,64.17,-188.45,NA,NA,380.9,388.67,0.973066303646192,0.392999498639256,0.030080035168722,0.281590103923533,NA,NA
"TD","TD",9,50,-257.13,NA,NA,518.26,526.03,0.895209939451888,0.0054737395918251,0.0118348394028201,0.00211400859354271,NA,NA
"TD","TD",10,68.06,-180.79,NA,NA,365.58,373.35,0.0494146177079529,0.507862410508096,0.0374415135485629,0.516175494005321,NA,NA
"TD","TD",11,59.17,-209.44,NA,NA,422.88,430.65,0.197620301274583,0.18983699940145,0.199757576517531,0.0810198689628785,NA,NA
"TD","TD",12,65.83,-176.63,NA,NA,357.26,365.03,0.0560640415642411,0.566026730462909,0.0182490844115849,0.324808449214526,NA,NA
"TD","TD",13,87.22,-127.58,NA,NA,259.16,266.93,0.051307131536305,1.23247370731968,0.0516985310243018,4.09196322558096,NA,NA
"TD","TD",14,62.22,-199.49,NA,NA,402.98,410.75,0.989872474921867,0.208000437050192,0.269155989933049,0.145992089050716,NA,NA
"TD","TD",15,83.33,-137.73,NA,NA,279.46,287.23,0.711294803768396,0.57632797351107,0.543575740685403,0.689765212011294,NA,NA
"TD","TD",16,49.72,-256.05,NA,NA,516.1,523.87,0.0768930825870484,0.00966986734420061,0.0170235468715624,0.00513054924739427,NA,NA
"TD","TD",17,91.94,-73.78,NA,NA,151.56,159.33,0.797194604296237,2.5054881726885,0.778667918345717,0.893236324529176,NA,NA
"TD","TD",18,93.61,-86.81,NA,NA,177.62,185.39,0.731893435353413,1.27495420533688,0.836455865686585,2.33408700448081,NA,NA
"TD","TD",19,90.56,-97.74,NA,NA,199.48,207.25,0.809085062006488,0.797056699129653,0.792285452035539,0.980444717884288,NA,NA
"TD","TD",20,84.72,-122.11,NA,NA,248.22,255.99,0.511981163173914,2.39124982816227,0.465955264483786,0.792164162014375,NA,NA
"TD","TD",21,89.44,-131.49,NA,NA,266.98,274.75,0.226354157319292,1.66897989056053,0.267411853785364,1.87169894735593,NA,NA
"TD","TD",22,71.94,-170.97,NA,NA,345.94,353.71,0.300222688354552,0.955442077438247,0.551412455277797,0.316569019226531,NA,NA
"TD","TD",23,93.89,-76.94,NA,NA,157.88,165.65,0.984172471100464,1.69604673600736,0.888076121576853,3.1357192369694,NA,NA
"TD","TD",24,61.94,-198.57,NA,NA,401.14,408.91,0.540354023920372,0.234106497689865,0.349633105885088,0.128217291031543,NA,NA
"TD","TD",25,64.44,-193.31,NA,NA,390.62,398.39,0.870058757020161,0.327183235902339,0.566190121737869,0.132101210590952,NA,NA
"TD","TD",26,88.06,-145.67,NA,NA,295.34,303.11,0.0660558908712119,1.97567781611326,0.140090139092624,4.87898526147072,NA,NA
"TD","TD",27,63.33,-194.46,NA,NA,392.92,400.69,0.973287776112556,0.260513227898628,0.142692803115651,0.250511671466027,NA,NA
"TD","TD",28,81.67,-151.01,NA,NA,306.02,313.79,0.290595552418381,1.05573849655212,0.555158181252007,0.689864224363485,NA,NA
