"simulate_model","fit_model","iteration","ACC","LogL","LogPr","LogPo","AIC","BIC","input_param_1","input_param_2","output_param_1","output_param_2","output_param_3","input_param_3"
"TD","TD",1,100,-99.86,NA,NA,203.72,211.49,0.643091264180839,1.83357874206723,0.829520424963534,1.730692675686,NA,NA
"TD","TD",2,100,-90.81,NA,NA,185.62,193.39,0.724670132622123,2.43561604238095,0.809411575552737,1.31779602379115,NA,NA
"TD","TD",3,100,-105.08,NA,NA,214.16,221.93,0.950232450617477,3.03779015681686,0.883888689338552,3.05876296734906,NA,NA
"TD","TD",4,100,-106.01,NA,NA,216.02,223.79,0.682289758697152,1.07202245481312,0.78216290193088,1,NA,NA
"TD","TD",5,100,-111.26,NA,NA,226.52,234.29,0.200363578274846,2.00568439900399,0.15088183999283,1.07495175811432,NA,NA
"TD","TD",6,100,-123.78,NA,NA,251.56,259.33,0.321220333920792,1.29866566415876,0.150034422895086,1,NA,NA
"TD","TD",7,100,-249.54,NA,NA,503.08,510.85,0.571441247593611,1.05021329503506,0.01,1.01,NA,NA
"TD","TD",8,100,-109.76,NA,NA,223.52,231.29,0.973066303646192,1.39299949863926,0.87085543141396,1.13722484625485,NA,NA
"TD","TD",9,100,-124.48,NA,NA,252.96,260.73,0.895209939451888,1.00547373959183,0.855681466696618,1,NA,NA
"TD","TD",10,100,-136.74,NA,NA,277.48,285.25,0.0494146177079529,1.5078624105081,0.0464200568788358,1.0459176221879,NA,NA
"TD","TD",11,100,-125.75,NA,NA,255.5,263.27,0.197620301274583,1.18983699940145,0.134204095759653,1,NA,NA
"TD","TD",12,100,-123.69,NA,NA,251.38,259.15,0.0560640415642411,1.56602673046291,0.0621845510741805,1.16617570586568,NA,NA
"TD","TD",13,100,-122.22,NA,NA,248.44,256.21,0.051307131536305,2.23247370731968,0.0559294070316838,1.58992114247506,NA,NA
"TD","TD",14,100,-113.5,NA,NA,231,238.77,0.989872474921867,1.20800043705019,0.869046448913009,1.03284460642473,NA,NA
"TD","TD",15,100,-90.8,NA,NA,185.6,193.37,0.711294803768396,1.57632797351107,0.810244457783068,1.34963252310325,NA,NA
"TD","TD",16,100,-135.81,NA,NA,275.62,283.39,0.0768930825870484,1.0096698673442,0.0706025356363932,1.18412209445828,NA,NA
"TD","TD",17,100,-90.81,NA,NA,185.62,193.39,0.797194604296237,3.5054881726885,0.871756072670003,5.99335827060034,NA,NA
"TD","TD",18,100,-90.86,NA,NA,185.72,193.49,0.731893435353413,2.27495420533688,0.804754833433183,1.24491735666846,NA,NA
"TD","TD",19,100,-93.15,NA,NA,190.3,198.07,0.809085062006488,1.79705669912965,0.868097776528836,4.05729666721106,NA,NA
"TD","TD",20,100,-110.54,NA,NA,225.08,232.85,0.511981163173914,3.39124982816227,0.28612715007961,1.0504767316026,NA,NA
"TD","TD",21,100,-112.85,NA,NA,229.7,237.47,0.226354157319292,2.66897989056053,0.17182028797875,1.14211425128873,NA,NA
"TD","TD",22,100,-115.53,NA,NA,235.06,242.83,0.300222688354552,1.95544207743825,0.178632946757261,1.05893323771026,NA,NA
"TD","TD",23,100,-105.14,NA,NA,214.28,222.05,0.984172471100464,2.69604673600736,0.883823460852905,2.95277329136846,NA,NA
"TD","TD",24,100,-249.54,NA,NA,503.08,510.85,0.540354023920372,1.23410649768987,0.01,1.01,NA,NA
"TD","TD",25,100,-110.17,NA,NA,224.34,232.11,0.870058757020161,1.32718323590234,0.835583672945377,1,NA,NA
"TD","TD",26,100,-116.85,NA,NA,237.7,245.47,0.0660558908712119,2.97567781611326,0.0799146342586284,1.30733504821189,NA,NA
"TD","TD",27,100,-112.97,NA,NA,229.94,237.71,0.973287776112556,1.26051322789863,0.885975882441531,5.57816274052378,NA,NA
"TD","TD",28,100,-112.86,NA,NA,229.72,237.49,0.290595552418381,2.05573849655212,0.18294241435485,1.1181485684807,NA,NA
"TD","TD",29,100,-113.31,NA,NA,230.62,238.39,0.988910319516435,1.21139730885625,0.886900276326637,5.4468771832017,NA,NA
"TD","TD",30,100,-112.96,NA,NA,229.92,237.69,0.329378831898794,3.0851063261411,0.178452312671739,1.04001929706783,NA,NA
"TD","TD",31,100,-126.37,NA,NA,256.74,264.51,0.11878991080448,1.83541438817502,0.104085381382232,1.19155592712886,NA,NA
"TD","TD",32,100,-132.95,NA,NA,269.9,277.67,0.0508385861758143,1.41009616898373,0.0429796216958269,1.782546933332,NA,NA
"TD","TD",33,100,-90.8,NA,NA,185.6,193.37,0.684979062527418,1.75662852577144,0.811276132929761,1.35874890154151,NA,NA
"TD","TD",34,100,-113.56,NA,NA,231.12,238.89,0.842564480379224,1.05992496339604,0.854104209193868,1.52027870640165,NA,NA
"TD","TD",35,100,-114.31,NA,NA,232.62,240.39,0.27115519088693,3.69503675574873,0.181802927905407,1.0792192530119,NA,NA
"TD","TD",36,100,-97.78,NA,NA,199.56,207.33,0.779200294986367,1.45758824376389,0.863855955382599,3.20751789637581,NA,NA
"TD","TD",37,100,-104.55,NA,NA,213.1,220.87,0.982565350597724,4.92570209977795,0.885990178583902,4.16288313668997,NA,NA
"TD","TD",38,100,-249.54,NA,NA,503.08,510.85,0.533772448310629,1.2251683762297,0.01,1.01,NA,NA
"TD","TD",39,100,-126.04,NA,NA,256.08,263.85,0.128862570039928,2.75030500992181,0.106642707155406,1.19875511960631,NA,NA
"TD","TD",40,100,-123.85,NA,NA,251.7,259.47,0.420502026332542,1.08286330314484,0.148807313929036,1,NA,NA
