"simulate_model","fit_model","iteration","ACC","LogL","LogPr","LogPo","AIC","BIC","input_param_1","input_param_2","output_param_1","output_param_2","output_param_3","input_param_3"
"TD","TD",1,100,69.6164005661181,NA,NA,143.232801132236,151.005009195137,0.643091264180839,0.83357874206723,0.635660798517301,0.744604265922122,NA,NA
"TD","TD",2,100,21.2573799847263,NA,NA,46.5147599694527,54.286968032353,0.724670132622123,1.43561604238095,0.711880491416935,1.73999768231475,NA,NA
"TD","TD",3,100,26.390535449284,NA,NA,56.781070898568,64.5532789614683,0.950232450617477,2.03779015681686,0.976301807991677,1.25285754512597,NA,NA
"TD","TD",4,100,184.334268242258,NA,NA,372.668536484515,380.440744547416,0.682289758697152,0.0720224548131227,0.648283531232829,0.0866278351211392,NA,NA
"TD","TD",5,100,83.9004163551473,NA,NA,171.800832710295,179.573040773195,0.200363578274846,1.00568439900399,0.229532156032742,0.849070362114368,NA,NA
"TD","TD",6,100,141.505764224641,NA,NA,287.011528449282,294.783736512182,0.321220333920792,0.298665664158762,0.404093891992373,0.293749620580706,NA,NA
"TD","TD",7,100,204.381318111244,NA,NA,412.762636222489,420.534844285389,0.571441247593611,0.0502132950350642,0.412639783703115,0.0547876827057896,NA,NA
"TD","TD",8,100,119.777176685014,NA,NA,243.554353370028,251.326561432928,0.973066303646192,0.392999498639256,0.920006732626497,0.34868092120174,NA,NA
"TD","TD",9,100,248.139457761289,NA,NA,500.278915522577,508.051123585478,0.895209939451888,0.0054737395918251,0.0449007256754754,0.000833631262379209,NA,NA
"TD","TD",10,100,168.972897769162,NA,NA,341.945795538325,349.718003601225,0.0494146177079529,0.507862410508096,0.0597115041917811,0.444883829291389,NA,NA
"TD","TD",11,100,186.696981417843,NA,NA,377.393962835686,385.166170898586,0.197620301274583,0.18983699940145,0.223159713729033,0.155530163499807,NA,NA
"TD","TD",12,100,155.718184544203,NA,NA,315.436369088406,323.208577151306,0.0560640415642411,0.566026730462909,0.0637203270153215,0.549392090842319,NA,NA
"TD","TD",13,100,115.124257465497,NA,NA,234.248514930995,242.020722993895,0.051307131536305,1.23247370731968,0.0509541231954093,1.25166355062707,NA,NA
"TD","TD",14,100,146.494683529601,NA,NA,296.989367059203,304.761575122103,0.989872474921867,0.208000437050192,0.918413285723641,0.193831887818646,NA,NA
"TD","TD",15,100,80.0714878122066,NA,NA,164.142975624413,171.915183687314,0.711294803768396,0.57632797351107,0.654369072595864,0.618364672861196,NA,NA
"TD","TD",16,100,246.600156920127,NA,NA,497.200313840253,504.972521903154,0.0768930825870484,0.00966986734420061,0.404672832374598,0.00595483041943162,NA,NA
"TD","TD",17,100,14.174554297209,NA,NA,32.349108594418,40.1213166573183,0.797194604296237,2.5054881726885,0.789283660467522,9.99999,NA,NA
"TD","TD",18,100,25.605417693945,NA,NA,55.2108353878899,62.9830434507902,0.731893435353413,1.27495420533688,0.727742179317932,1.47419733705045,NA,NA
"TD","TD",19,100,69.8310611513549,NA,NA,143.66212230271,151.43433036561,0.809085062006488,0.797056699129653,0.784847923230209,0.727366351585058,NA,NA
"TD","TD",20,100,22.9802752105983,NA,NA,49.9605504211965,57.7327584840968,0.511981163173914,2.39124982816227,0.498062876311757,2.99621730050173,NA,NA
"TD","TD",21,100,48.7445933032699,NA,NA,101.48918660654,109.26139466944,0.226354157319292,1.66897989056053,0.249572182260413,1.36154627899685,NA,NA
"TD","TD",22,100,71.4612315438601,NA,NA,146.92246308772,154.694671150621,0.300222688354552,0.955442077438247,0.278867778556545,0.948005766707716,NA,NA
"TD","TD",23,100,20.1230206647,NA,NA,44.2460413294,52.0182493923003,0.984172471100464,1.69604673600736,0.900840297037542,9.99999,NA,NA
"TD","TD",24,100,144.584231178488,NA,NA,293.168462356976,300.940670419876,0.540354023920372,0.234106497689865,0.581531946117507,0.241821944762166,NA,NA
"TD","TD",25,100,133.866850100973,NA,NA,271.733700201946,279.505908264846,0.870058757020161,0.327183235902339,0.809543619250707,0.294273909236311,NA,NA
"TD","TD",26,100,89.1941159823974,NA,NA,182.388231964795,190.160440027695,0.0660558908712119,1.97567781611326,0.0684382158882814,2.03214898387873,NA,NA
"TD","TD",27,100,138.211476385103,NA,NA,280.422952770205,288.195160833106,0.973287776112556,0.260513227898628,0.910894198256864,0.238674349242272,NA,NA
"TD","TD",28,100,70.7637689245383,NA,NA,145.527537849077,153.299745911977,0.290595552418381,1.05573849655212,0.283161793357289,0.92785977015925,NA,NA
"TD","TD",29,100,146.037627769406,NA,NA,296.075255538811,303.847463601711,0.988910319516435,0.211397308856249,0.911706173175675,0.199773194232758,NA,NA
"TD","TD",30,100,36.4351663492213,NA,NA,76.8703326984425,84.6425407613428,0.329378831898794,2.0851063261411,0.326875627119877,1.9294054582202,NA,NA
"TD","TD",31,100,119.635277792892,NA,NA,243.270555585784,251.042763648684,0.11878991080448,0.835414388175023,0.127152697961182,0.75427996996697,NA,NA
"TD","TD",32,100,176.94666965699,NA,NA,357.893339313981,365.665547376881,0.0508385861758143,0.410096168983728,0.0619239109931476,0.376679346314418,NA,NA
"TD","TD",33,100,63.5413935892184,NA,NA,131.082787178437,138.854995241337,0.684979062527418,0.756628525771442,0.665651212637308,0.775999906598176,NA,NA
"TD","TD",34,100,186.905680492314,NA,NA,377.811360984628,385.583569047528,0.842564480379224,0.0599249633960426,0.815226702964749,0.0726318439229104,NA,NA
"TD","TD",35,100,28.7587397477938,NA,NA,61.5174794955876,69.2896875584879,0.27115519088693,2.69503675574873,0.289325737998035,2.3801119678745,NA,NA
"TD","TD",36,100,109.478627643004,NA,NA,222.957255286009,230.729463348909,0.779200294986367,0.457588243763894,0.736268501740961,0.435344414624203,NA,NA
"TD","TD",37,100,16.2932783320809,NA,NA,36.5865566641619,44.3587647270622,0.982565350597724,3.92570209977795,0.902031783194005,9.99999,NA,NA
"TD","TD",38,100,145.402602507022,NA,NA,294.805205014043,302.577413076944,0.533772448310629,0.225168376229703,0.577204928046626,0.238198484063121,NA,NA
"TD","TD",39,100,66.6764311793938,NA,NA,137.352862358788,145.125070421688,0.128862570039928,1.75030500992181,0.137044895763601,1.9825270942001,NA,NA
"TD","TD",40,100,194.195507612985,NA,NA,392.39101522597,400.16322328887,0.420502026332542,0.0828633031448371,0.361562948040078,0.0872649858136408,NA,NA
